Labour market region (SA4): ASGS (2011),date,percent of parttime workers,sa4_code_2011
303 Brisbane - South,2000-08-01,11.42,303
304 Brisbane - West,2000-08-01,7.39,304
305 Brisbane Inner City,2000-08-01,9.99,305
310 Ipswich,2000-08-01,7.63,310
311 Logan - Beaudesert,2000-08-01,8.69,311
313 Moreton Bay - North,2000-08-01,7.74,313
314 Moreton Bay - South,2000-08-01,8.38,314
306 Cairns,2000-08-01,7.11,306
307 Darling Downs - Maranoa,2000-08-01,10.50,307
308 Fitzroy,2000-08-01,5.20,308
309 Gold Coast,2000-08-01,7.16,309
312 Mackay,2000-08-01,10.33,312
315 Queensland - Outback,2000-08-01,7.66,315
316 Sunshine Coast,2000-08-01,6.39,316
317 Toowoomba,2000-08-01,10.28,317
318 Townsville,2000-08-01,9.20,318
319 Wide Bay,2000-08-01,8.84,319
401 Adelaide - Central and Hills,2000-08-01,8.60,401
402 Adelaide - North,2000-08-01,7.03,402
403 Adelaide - South,2000-08-01,9.37,403
404 Adelaide - West,2000-08-01,9.19,404
405 Barossa - Yorke - Mid North,2000-08-01,8.86,405
406 South Australia - Outback,2000-08-01,6.73,406
407 South Australia - South East,2000-08-01,9.19,407
502 Mandurah,2000-08-01,7.81,502
503 Perth - Inner,2000-08-01,10.50,503
504 Perth - North East,2000-08-01,9.04,504
505 Perth - North West,2000-08-01,10.55,505
506 Perth - South East,2000-08-01,8.59,506
507 Perth - South West,2000-08-01,7.86,507
501 Bunbury,2000-08-01,8.46,501
508 Western Australia - Outback,2000-08-01,6.02,508
509 Western Australia - Wheat Belt,2000-08-01,7.02,509
601 Hobart,2000-08-01,7.00,601
602 Launceston and North East,2000-08-01,9.90,602
603 Tasmania - South East,2000-08-01,9.06,603
604 Tasmania - West and North West,2000-08-01,5.63,604
701 Darwin,2000-08-01,8.33,701
702 Northern Territory - Outback,2000-08-01,9.19,702
801 Australian Capital Territory,2000-08-01,11.51,801
102 Central Coast,2001-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2001-08-01,8.30,115
116 Sydney - Blacktown,2001-08-01,6.78,116
117 Sydney - City and Inner South,2001-08-01,7.40,117
118 Sydney - Eastern Suburbs,2001-08-01,10.63,118
119 Sydney - Inner South West,2001-08-01,7.63,119
120 Sydney - Inner West,2001-08-01,8.25,120
121 Sydney - North Sydney and Hornsby,2001-08-01,6.87,121
122 Sydney - Northern Beaches,2001-08-01,6.93,122
123 Sydney - Outer South West,2001-08-01,8.43,123
124 Sydney - Outer West and Blue Mountains,2001-08-01,10.13,124
125 Sydney - Parramatta,2001-08-01,9.01,125
126 Sydney - Ryde,2001-08-01,5.16,126
127 Sydney - South West,2001-08-01,6.24,127
128 Sydney - Sutherland,2001-08-01,6.73,128
101 Capital Region,2001-08-01,9.18,101
103 New South Wales - Central West,2001-08-01,8.38,103
104 Coffs Harbour - Grafton,2001-08-01,9.02,104
105 Far West and Orana,2001-08-01,9.89,105
106 Hunter Valley exc Newcastle,2001-08-01,8.54,106
107 Illawarra,2001-08-01,8.89,107
108 Mid North Coast,2001-08-01,6.84,108
109 Murray,2001-08-01,10.29,109
110 New England and North West,2001-08-01,8.83,110
111 Newcastle and Lake Macquarie,2001-08-01,6.91,111
112 Richmond - Tweed,2001-08-01,10.01,112
113 Riverina,2001-08-01,8.75,113
114 Southern Highlands and Shoalhaven,2001-08-01,6.93,114
206 Melbourne - Inner,2001-08-01,6.76,206
207 Melbourne - Inner East,2001-08-01,8.40,207
208 Melbourne - Inner South,2001-08-01,6.18,208
209 Melbourne - North East,2001-08-01,5.99,209
210 Melbourne - North West,2001-08-01,7.90,210
211 Melbourne - Outer East,2001-08-01,6.64,211
212 Melbourne - South East,2001-08-01,7.77,212
213 Melbourne - West,2001-08-01,5.83,213
214 Mornington Peninsula,2001-08-01,7.36,214
201 Ballarat,2001-08-01,8.12,201
202 Bendigo,2001-08-01,8.28,202
203 Geelong,2001-08-01,9.93,203
204 Hume,2001-08-01,6.72,204
205 Latrobe - Gippsland,2001-08-01,10.75,205
215 Victoria - North West,2001-08-01,7.18,215
216 Shepparton,2001-08-01,8.61,216
217 Warrnambool and South West,2001-08-01,5.31,217
301 Brisbane - East,2001-08-01,9.00,301
302 Brisbane - North,2001-08-01,6.36,302
303 Brisbane - South,2001-08-01,7.81,303
304 Brisbane - West,2001-08-01,7.27,304
305 Brisbane Inner City,2001-08-01,8.05,305
310 Ipswich,2001-08-01,9.33,310
311 Logan - Beaudesert,2001-08-01,9.06,311
313 Moreton Bay - North,2001-08-01,8.03,313
314 Moreton Bay - South,2001-08-01,11.16,314
306 Cairns,2001-08-01,10.48,306
307 Darling Downs - Maranoa,2001-08-01,9.64,307
308 Fitzroy,2001-08-01,5.53,308
309 Gold Coast,2001-08-01,7.55,309
312 Mackay,2001-08-01,9.60,312
315 Queensland - Outback,2001-08-01,8.38,315
316 Sunshine Coast,2001-08-01,7.27,316
317 Toowoomba,2001-08-01,10.29,317
318 Townsville,2001-08-01,10.04,318
319 Wide Bay,2001-08-01,9.74,319
401 Adelaide - Central and Hills,2001-08-01,9.19,401
402 Adelaide - North,2001-08-01,7.05,402
403 Adelaide - South,2001-08-01,8.69,403
404 Adelaide - West,2001-08-01,8.50,404
405 Barossa - Yorke - Mid North,2001-08-01,9.33,405
406 South Australia - Outback,2001-08-01,9.26,406
407 South Australia - South East,2001-08-01,7.56,407
502 Mandurah,2001-08-01,7.37,502
503 Perth - Inner,2001-08-01,9.04,503
504 Perth - North East,2001-08-01,8.54,504
505 Perth - North West,2001-08-01,11.25,505
506 Perth - South East,2001-08-01,9.37,506
507 Perth - South West,2001-08-01,9.00,507
501 Bunbury,2001-08-01,9.51,501
508 Western Australia - Outback,2001-08-01,8.78,508
509 Western Australia - Wheat Belt,2001-08-01,8.38,509
601 Hobart,2001-08-01,5.84,601
602 Launceston and North East,2001-08-01,9.75,602
603 Tasmania - South East,2001-08-01,7.67,603
604 Tasmania - West and North West,2001-08-01,4.94,604
701 Darwin,2001-08-01,8.95,701
702 Northern Territory - Outback,2001-08-01,9.97,702
801 Australian Capital Territory,2001-08-01,9.97,801
102 Central Coast,2002-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2002-08-01,10.10,115
116 Sydney - Blacktown,2002-08-01,6.30,116
117 Sydney - City and Inner South,2002-08-01,7.31,117
118 Sydney - Eastern Suburbs,2002-08-01,9.90,118
119 Sydney - Inner South West,2002-08-01,8.84,119
120 Sydney - Inner West,2002-08-01,6.91,120
121 Sydney - North Sydney and Hornsby,2002-08-01,7.12,121
122 Sydney - Northern Beaches,2002-08-01,5.54,122
123 Sydney - Outer South West,2002-08-01,7.56,123
124 Sydney - Outer West and Blue Mountains,2002-08-01,8.43,124
125 Sydney - Parramatta,2002-08-01,7.75,125
126 Sydney - Ryde,2002-08-01,5.13,126
127 Sydney - South West,2002-08-01,6.04,127
128 Sydney - Sutherland,2002-08-01,7.15,128
101 Capital Region,2002-08-01,8.88,101
103 New South Wales - Central West,2002-08-01,11.27,103
104 Coffs Harbour - Grafton,2002-08-01,7.61,104
105 Far West and Orana,2002-08-01,7.85,105
106 Hunter Valley exc Newcastle,2002-08-01,6.89,106
107 Illawarra,2002-08-01,7.43,107
108 Mid North Coast,2002-08-01,8.87,108
109 Murray,2002-08-01,9.28,109
110 New England and North West,2002-08-01,8.63,110
111 Newcastle and Lake Macquarie,2002-08-01,8.98,111
112 Richmond - Tweed,2002-08-01,9.99,112
113 Riverina,2002-08-01,9.74,113
114 Southern Highlands and Shoalhaven,2002-08-01,7.78,114
206 Melbourne - Inner,2002-08-01,9.27,206
207 Melbourne - Inner East,2002-08-01,7.67,207
208 Melbourne - Inner South,2002-08-01,7.61,208
209 Melbourne - North East,2002-08-01,6.94,209
210 Melbourne - North West,2002-08-01,7.82,210
211 Melbourne - Outer East,2002-08-01,8.33,211
212 Melbourne - South East,2002-08-01,7.37,212
213 Melbourne - West,2002-08-01,6.57,213
214 Mornington Peninsula,2002-08-01,6.95,214
201 Ballarat,2002-08-01,6.95,201
202 Bendigo,2002-08-01,9.90,202
203 Geelong,2002-08-01,8.06,203
204 Hume,2002-08-01,8.58,204
205 Latrobe - Gippsland,2002-08-01,11.04,205
215 Victoria - North West,2002-08-01,7.62,215
216 Shepparton,2002-08-01,6.30,216
217 Warrnambool and South West,2002-08-01,7.08,217
301 Brisbane - East,2002-08-01,7.50,301
302 Brisbane - North,2002-08-01,8.31,302
303 Brisbane - South,2002-08-01,7.94,303
304 Brisbane - West,2002-08-01,9.16,304
305 Brisbane Inner City,2002-08-01,8.27,305
310 Ipswich,2002-08-01,9.34,310
311 Logan - Beaudesert,2002-08-01,8.11,311
313 Moreton Bay - North,2002-08-01,7.78,313
314 Moreton Bay - South,2002-08-01,11.95,314
306 Cairns,2002-08-01,8.58,306
307 Darling Downs - Maranoa,2002-08-01,10.92,307
308 Fitzroy,2002-08-01,8.58,308
309 Gold Coast,2002-08-01,8.71,309
312 Mackay,2002-08-01,9.69,312
315 Queensland - Outback,2002-08-01,7.18,315
316 Sunshine Coast,2002-08-01,12.47,316
317 Toowoomba,2002-08-01,10.46,317
318 Townsville,2002-08-01,8.01,318
319 Wide Bay,2002-08-01,11.12,319
401 Adelaide - Central and Hills,2002-08-01,8.88,401
402 Adelaide - North,2002-08-01,8.64,402
403 Adelaide - South,2002-08-01,9.19,403
404 Adelaide - West,2002-08-01,9.91,404
405 Barossa - Yorke - Mid North,2002-08-01,9.88,405
406 South Australia - Outback,2002-08-01,7.00,406
407 South Australia - South East,2002-08-01,10.61,407
502 Mandurah,2002-08-01,7.65,502
503 Perth - Inner,2002-08-01,10.42,503
504 Perth - North East,2002-08-01,6.36,504
505 Perth - North West,2002-08-01,9.46,505
506 Perth - South East,2002-08-01,8.78,506
507 Perth - South West,2002-08-01,8.04,507
501 Bunbury,2002-08-01,8.76,501
508 Western Australia - Outback,2002-08-01,7.29,508
509 Western Australia - Wheat Belt,2002-08-01,9.34,509
601 Hobart,2002-08-01,5.95,601
602 Launceston and North East,2002-08-01,11.72,602
603 Tasmania - South East,2002-08-01,7.20,603
604 Tasmania - West and North West,2002-08-01,4.34,604
701 Darwin,2002-08-01,9.41,701
702 Northern Territory - Outback,2002-08-01,9.45,702
801 Australian Capital Territory,2002-08-01,13.75,801
102 Central Coast,2003-08-01,100.00,102
