Labour market region (SA4): ASGS (2011),date,percent of parttime workers,sa4_code_2011
106 Hunter Valley exc Newcastle,2001-02-01,7.60,106
107 Illawarra,2001-02-01,7.46,107
108 Mid North Coast,2001-02-01,6.24,108
109 Murray,2001-02-01,10.74,109
110 New England and North West,2001-02-01,6.78,110
111 Newcastle and Lake Macquarie,2001-02-01,7.51,111
112 Richmond - Tweed,2001-02-01,10.36,112
113 Riverina,2001-02-01,10.11,113
114 Southern Highlands and Shoalhaven,2001-02-01,7.75,114
206 Melbourne - Inner,2001-02-01,5.55,206
207 Melbourne - Inner East,2001-02-01,8.08,207
208 Melbourne - Inner South,2001-02-01,6.26,208
209 Melbourne - North East,2001-02-01,6.93,209
210 Melbourne - North West,2001-02-01,9.49,210
211 Melbourne - Outer East,2001-02-01,6.67,211
212 Melbourne - South East,2001-02-01,7.27,212
213 Melbourne - West,2001-02-01,5.54,213
214 Mornington Peninsula,2001-02-01,7.59,214
201 Ballarat,2001-02-01,8.09,201
202 Bendigo,2001-02-01,7.72,202
203 Geelong,2001-02-01,9.51,203
204 Hume,2001-02-01,6.98,204
205 Latrobe - Gippsland,2001-02-01,10.28,205
215 Victoria - North West,2001-02-01,7.74,215
216 Shepparton,2001-02-01,6.21,216
217 Warrnambool and South West,2001-02-01,7.20,217
301 Brisbane - East,2001-02-01,7.99,301
302 Brisbane - North,2001-02-01,7.44,302
303 Brisbane - South,2001-02-01,10.39,303
304 Brisbane - West,2001-02-01,5.73,304
305 Brisbane Inner City,2001-02-01,8.60,305
310 Ipswich,2001-02-01,8.73,310
311 Logan - Beaudesert,2001-02-01,8.21,311
313 Moreton Bay - North,2001-02-01,7.33,313
314 Moreton Bay - South,2001-02-01,10.30,314
306 Cairns,2001-02-01,9.03,306
307 Darling Downs - Maranoa,2001-02-01,10.91,307
308 Fitzroy,2001-02-01,6.55,308
309 Gold Coast,2001-02-01,7.22,309
312 Mackay,2001-02-01,10.30,312
315 Queensland - Outback,2001-02-01,8.33,315
316 Sunshine Coast,2001-02-01,7.61,316
317 Toowoomba,2001-02-01,10.25,317
318 Townsville,2001-02-01,8.55,318
319 Wide Bay,2001-02-01,9.58,319
401 Adelaide - Central and Hills,2001-02-01,8.12,401
402 Adelaide - North,2001-02-01,6.60,402
403 Adelaide - South,2001-02-01,9.21,403
404 Adelaide - West,2001-02-01,8.60,404
405 Barossa - Yorke - Mid North,2001-02-01,9.63,405
406 South Australia - Outback,2001-02-01,8.25,406
407 South Australia - South East,2001-02-01,8.76,407
502 Mandurah,2001-02-01,6.85,502
503 Perth - Inner,2001-02-01,9.70,503
504 Perth - North East,2001-02-01,9.01,504
505 Perth - North West,2001-02-01,11.25,505
506 Perth - South East,2001-02-01,9.51,506
507 Perth - South West,2001-02-01,8.24,507
501 Bunbury,2001-02-01,8.78,501
508 Western Australia - Outback,2001-02-01,6.84,508
509 Western Australia - Wheat Belt,2001-02-01,7.24,509
601 Hobart,2001-02-01,6.04,601
602 Launceston and North East,2001-02-01,9.50,602
603 Tasmania - South East,2001-02-01,9.41,603
604 Tasmania - West and North West,2001-02-01,6.14,604
701 Darwin,2001-02-01,8.34,701
702 Northern Territory - Outback,2001-02-01,9.73,702
801 Australian Capital Territory,2001-02-01,11.12,801
102 Central Coast,2002-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2002-02-01,9.28,115
116 Sydney - Blacktown,2002-02-01,6.59,116
117 Sydney - City and Inner South,2002-02-01,7.57,117
118 Sydney - Eastern Suburbs,2002-02-01,10.01,118
119 Sydney - Inner South West,2002-02-01,8.03,119
120 Sydney - Inner West,2002-02-01,8.19,120
121 Sydney - North Sydney and Hornsby,2002-02-01,7.14,121
122 Sydney - Northern Beaches,2002-02-01,6.16,122
123 Sydney - Outer South West,2002-02-01,8.36,123
124 Sydney - Outer West and Blue Mountains,2002-02-01,9.52,124
125 Sydney - Parramatta,2002-02-01,8.76,125
126 Sydney - Ryde,2002-02-01,4.96,126
127 Sydney - South West,2002-02-01,6.56,127
128 Sydney - Sutherland,2002-02-01,6.74,128
101 Capital Region,2002-02-01,10.22,101
103 New South Wales - Central West,2002-02-01,9.82,103
104 Coffs Harbour - Grafton,2002-02-01,8.84,104
105 Far West and Orana,2002-02-01,9.12,105
106 Hunter Valley exc Newcastle,2002-02-01,7.86,106
107 Illawarra,2002-02-01,9.35,107
108 Mid North Coast,2002-02-01,7.66,108
109 Murray,2002-02-01,9.59,109
110 New England and North West,2002-02-01,9.51,110
111 Newcastle and Lake Macquarie,2002-02-01,7.42,111
112 Richmond - Tweed,2002-02-01,9.35,112
113 Riverina,2002-02-01,10.89,113
114 Southern Highlands and Shoalhaven,2002-02-01,6.96,114
206 Melbourne - Inner,2002-02-01,9.49,206
207 Melbourne - Inner East,2002-02-01,7.72,207
208 Melbourne - Inner South,2002-02-01,6.93,208
209 Melbourne - North East,2002-02-01,6.25,209
210 Melbourne - North West,2002-02-01,7.70,210
211 Melbourne - Outer East,2002-02-01,7.21,211
212 Melbourne - South East,2002-02-01,7.36,212
213 Melbourne - West,2002-02-01,6.37,213
214 Mornington Peninsula,2002-02-01,6.83,214
201 Ballarat,2002-02-01,7.63,201
202 Bendigo,2002-02-01,8.15,202
203 Geelong,2002-02-01,9.59,203
204 Hume,2002-02-01,8.49,204
205 Latrobe - Gippsland,2002-02-01,12.46,205
215 Victoria - North West,2002-02-01,6.96,215
216 Shepparton,2002-02-01,8.53,216
217 Warrnambool and South West,2002-02-01,5.15,217
301 Brisbane - East,2002-02-01,8.46,301
302 Brisbane - North,2002-02-01,7.16,302
303 Brisbane - South,2002-02-01,7.55,303
304 Brisbane - West,2002-02-01,9.08,304
305 Brisbane Inner City,2002-02-01,8.20,305
310 Ipswich,2002-02-01,9.25,310
311 Logan - Beaudesert,2002-02-01,8.05,311
313 Moreton Bay - North,2002-02-01,7.60,313
314 Moreton Bay - South,2002-02-01,11.10,314
306 Cairns,2002-02-01,10.17,306
307 Darling Downs - Maranoa,2002-02-01,9.81,307
308 Fitzroy,2002-02-01,5.88,308
309 Gold Coast,2002-02-01,7.34,309
312 Mackay,2002-02-01,10.33,312
315 Queensland - Outback,2002-02-01,7.25,315
316 Sunshine Coast,2002-02-01,8.46,316
317 Toowoomba,2002-02-01,9.99,317
318 Townsville,2002-02-01,10.10,318
319 Wide Bay,2002-02-01,9.20,319
401 Adelaide - Central and Hills,2002-02-01,9.12,401
402 Adelaide - North,2002-02-01,8.29,402
403 Adelaide - South,2002-02-01,9.15,403
404 Adelaide - West,2002-02-01,9.65,404
405 Barossa - Yorke - Mid North,2002-02-01,9.21,405
406 South Australia - Outback,2002-02-01,8.01,406
407 South Australia - South East,2002-02-01,8.43,407
502 Mandurah,2002-02-01,7.63,502
503 Perth - Inner,2002-02-01,9.71,503
504 Perth - North East,2002-02-01,6.86,504
505 Perth - North West,2002-02-01,10.45,505
506 Perth - South East,2002-02-01,8.77,506
507 Perth - South West,2002-02-01,8.52,507
501 Bunbury,2002-02-01,9.34,501
508 Western Australia - Outback,2002-02-01,8.47,508
509 Western Australia - Wheat Belt,2002-02-01,10.06,509
601 Hobart,2002-02-01,5.42,601
602 Launceston and North East,2002-02-01,10.41,602
603 Tasmania - South East,2002-02-01,6.90,603
604 Tasmania - West and North West,2002-02-01,4.09,604
701 Darwin,2002-02-01,9.74,701
702 Northern Territory - Outback,2002-02-01,9.21,702
801 Australian Capital Territory,2002-02-01,12.95,801
102 Central Coast,2003-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2003-02-01,9.64,115
116 Sydney - Blacktown,2003-02-01,6.37,116
117 Sydney - City and Inner South,2003-02-01,7.17,117
118 Sydney - Eastern Suburbs,2003-02-01,9.57,118
119 Sydney - Inner South West,2003-02-01,8.31,119
120 Sydney - Inner West,2003-02-01,6.09,120
121 Sydney - North Sydney and Hornsby,2003-02-01,7.05,121
122 Sydney - Northern Beaches,2003-02-01,5.24,122
123 Sydney - Outer South West,2003-02-01,6.02,123
124 Sydney - Outer West and Blue Mountains,2003-02-01,8.53,124
125 Sydney - Parramatta,2003-02-01,8.61,125
126 Sydney - Ryde,2003-02-01,5.51,126
127 Sydney - South West,2003-02-01,6.32,127
128 Sydney - Sutherland,2003-02-01,6.01,128
101 Capital Region,2003-02-01,8.13,101
103 New South Wales - Central West,2003-02-01,9.92,103
104 Coffs Harbour - Grafton,2003-02-01,8.01,104
105 Far West and Orana,2003-02-01,8.28,105
106 Hunter Valley exc Newcastle,2003-02-01,8.67,106
107 Illawarra,2003-02-01,6.54,107
108 Mid North Coast,2003-02-01,9.03,108
109 Murray,2003-02-01,8.71,109
110 New England and North West,2003-02-01,7.72,110
111 Newcastle and Lake Macquarie,2003-02-01,8.67,111
112 Richmond - Tweed,2003-02-01,9.78,112
113 Riverina,2003-02-01,7.28,113
114 Southern Highlands and Shoalhaven,2003-02-01,8.89,114
206 Melbourne - Inner,2003-02-01,9.19,206
207 Melbourne - Inner East,2003-02-01,7.72,207
208 Melbourne - Inner South,2003-02-01,6.62,208
209 Melbourne - North East,2003-02-01,6.91,209
210 Melbourne - North West,2003-02-01,8.01,210
211 Melbourne - Outer East,2003-02-01,9.31,211
212 Melbourne - South East,2003-02-01,7.53,212
213 Melbourne - West,2003-02-01,6.99,213
214 Mornington Peninsula,2003-02-01,7.58,214
201 Ballarat,2003-02-01,7.35,201
202 Bendigo,2003-02-01,10.59,202
203 Geelong,2003-02-01,7.90,203
204 Hume,2003-02-01,9.32,204
205 Latrobe - Gippsland,2003-02-01,10.64,205
215 Victoria - North West,2003-02-01,7.36,215
216 Shepparton,2003-02-01,6.34,216
217 Warrnambool and South West,2003-02-01,7.64,217
301 Brisbane - East,2003-02-01,7.55,301
302 Brisbane - North,2003-02-01,8.55,302
303 Brisbane - South,2003-02-01,9.77,303
304 Brisbane - West,2003-02-01,8.67,304
305 Brisbane Inner City,2003-02-01,8.83,305
310 Ipswich,2003-02-01,9.60,310
311 Logan - Beaudesert,2003-02-01,9.76,311
313 Moreton Bay - North,2003-02-01,9.00,313
314 Moreton Bay - South,2003-02-01,11.08,314
306 Cairns,2003-02-01,8.02,306
307 Darling Downs - Maranoa,2003-02-01,10.76,307
308 Fitzroy,2003-02-01,9.62,308
309 Gold Coast,2003-02-01,10.76,309
312 Mackay,2003-02-01,9.78,312
315 Queensland - Outback,2003-02-01,7.19,315
316 Sunshine Coast,2003-02-01,11.86,316
317 Toowoomba,2003-02-01,10.56,317
318 Townsville,2003-02-01,8.34,318
319 Wide Bay,2003-02-01,13.75,319
401 Adelaide - Central and Hills,2003-02-01,10.24,401
402 Adelaide - North,2003-02-01,8.46,402
403 Adelaide - South,2003-02-01,9.21,403
404 Adelaide - West,2003-02-01,9.75,404
405 Barossa - Yorke - Mid North,2003-02-01,11.03,405
406 South Australia - Outback,2003-02-01,7.45,406
407 South Australia - South East,2003-02-01,10.57,407
502 Mandurah,2003-02-01,9.08,502
503 Perth - Inner,2003-02-01,9.87,503
504 Perth - North East,2003-02-01,7.22,504
505 Perth - North West,2003-02-01,10.69,505
506 Perth - South East,2003-02-01,8.90,506
507 Perth - South West,2003-02-01,8.47,507
501 Bunbury,2003-02-01,9.34,501
508 Western Australia - Outback,2003-02-01,7.49,508
509 Western Australia - Wheat Belt,2003-02-01,7.82,509
601 Hobart,2003-02-01,6.54,601
602 Launceston and North East,2003-02-01,10.67,602
603 Tasmania - South East,2003-02-01,7.18,603
604 Tasmania - West and North West,2003-02-01,5.23,604
701 Darwin,2003-02-01,8.01,701
702 Northern Territory - Outback,2003-02-01,10.48,702
801 Australian Capital Territory,2003-02-01,13.37,801
102 Central Coast,2004-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2004-02-01,7.50,115
116 Sydney - Blacktown,2004-02-01,5.77,116
117 Sydney - City and Inner South,2004-02-01,8.23,117
118 Sydney - Eastern Suburbs,2004-02-01,8.98,118
119 Sydney - Inner South West,2004-02-01,8.66,119
120 Sydney - Inner West,2004-02-01,8.80,120
121 Sydney - North Sydney and Hornsby,2004-02-01,6.25,121
122 Sydney - Northern Beaches,2004-02-01,6.69,122
123 Sydney - Outer South West,2004-02-01,8.96,123
124 Sydney - Outer West and Blue Mountains,2004-02-01,8.52,124
125 Sydney - Parramatta,2004-02-01,9.80,125
126 Sydney - Ryde,2004-02-01,6.69,126
127 Sydney - South West,2004-02-01,6.94,127
128 Sydney - Sutherland,2004-02-01,6.09,128
101 Capital Region,2004-02-01,7.40,101
103 New South Wales - Central West,2004-02-01,8.76,103
104 Coffs Harbour - Grafton,2004-02-01,6.70,104
105 Far West and Orana,2004-02-01,7.03,105
106 Hunter Valley exc Newcastle,2004-02-01,10.14,106
107 Illawarra,2004-02-01,10.21,107
108 Mid North Coast,2004-02-01,8.13,108
109 Murray,2004-02-01,9.37,109
110 New England and North West,2004-02-01,9.77,110
111 Newcastle and Lake Macquarie,2004-02-01,7.75,111
112 Richmond - Tweed,2004-02-01,8.71,112
113 Riverina,2004-02-01,8.93,113
114 Southern Highlands and Shoalhaven,2004-02-01,6.01,114
206 Melbourne - Inner,2004-02-01,10.26,206
207 Melbourne - Inner East,2004-02-01,8.57,207
208 Melbourne - Inner South,2004-02-01,7.43,208
209 Melbourne - North East,2004-02-01,6.55,209
210 Melbourne - North West,2004-02-01,7.67,210
211 Melbourne - Outer East,2004-02-01,6.88,211
212 Melbourne - South East,2004-02-01,8.81,212
213 Melbourne - West,2004-02-01,5.53,213
214 Mornington Peninsula,2004-02-01,6.66,214
201 Ballarat,2004-02-01,7.78,201
202 Bendigo,2004-02-01,9.48,202
203 Geelong,2004-02-01,8.40,203
204 Hume,2004-02-01,9.13,204
205 Latrobe - Gippsland,2004-02-01,9.41,205
215 Victoria - North West,2004-02-01,7.26,215
216 Shepparton,2004-02-01,6.80,216
217 Warrnambool and South West,2004-02-01,11.17,217
301 Brisbane - East,2004-02-01,4.54,301
302 Brisbane - North,2004-02-01,7.75,302
303 Brisbane - South,2004-02-01,8.66,303
304 Brisbane - West,2004-02-01,8.83,304
305 Brisbane Inner City,2004-02-01,8.52,305
310 Ipswich,2004-02-01,8.53,310
311 Logan - Beaudesert,2004-02-01,9.91,311
313 Moreton Bay - North,2004-02-01,8.79,313
314 Moreton Bay - South,2004-02-01,9.88,314
306 Cairns,2004-02-01,10.38,306
307 Darling Downs - Maranoa,2004-02-01,10.70,307
308 Fitzroy,2004-02-01,8.29,308
309 Gold Coast,2004-02-01,11.35,309
312 Mackay,2004-02-01,11.44,312
315 Queensland - Outback,2004-02-01,8.42,315
316 Sunshine Coast,2004-02-01,10.46,316
317 Toowoomba,2004-02-01,10.91,317
318 Townsville,2004-02-01,8.40,318
319 Wide Bay,2004-02-01,9.47,319
401 Adelaide - Central and Hills,2004-02-01,7.60,401
402 Adelaide - North,2004-02-01,8.16,402
403 Adelaide - South,2004-02-01,10.46,403
404 Adelaide - West,2004-02-01,10.05,404
405 Barossa - Yorke - Mid North,2004-02-01,9.55,405
406 South Australia - Outback,2004-02-01,8.41,406
407 South Australia - South East,2004-02-01,8.94,407
502 Mandurah,2004-02-01,8.45,502
503 Perth - Inner,2004-02-01,9.65,503
504 Perth - North East,2004-02-01,8.33,504
505 Perth - North West,2004-02-01,10.78,505
506 Perth - South East,2004-02-01,8.84,506
507 Perth - South West,2004-02-01,8.76,507
501 Bunbury,2004-02-01,9.13,501
508 Western Australia - Outback,2004-02-01,7.03,508
509 Western Australia - Wheat Belt,2004-02-01,8.21,509
601 Hobart,2004-02-01,5.79,601
602 Launceston and North East,2004-02-01,10.19,602
603 Tasmania - South East,2004-02-01,9.12,603
604 Tasmania - West and North West,2004-02-01,6.02,604
701 Darwin,2004-02-01,8.88,701
702 Northern Territory - Outback,2004-02-01,9.72,702
801 Australian Capital Territory,2004-02-01,14.92,801
102 Central Coast,2005-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2005-02-01,8.71,115
116 Sydney - Blacktown,2005-02-01,7.09,116
117 Sydney - City and Inner South,2005-02-01,7.42,117
118 Sydney - Eastern Suburbs,2005-02-01,8.32,118
119 Sydney - Inner South West,2005-02-01,8.23,119
120 Sydney - Inner West,2005-02-01,6.86,120
121 Sydney - North Sydney and Hornsby,2005-02-01,6.28,121
122 Sydney - Northern Beaches,2005-02-01,8.17,122
123 Sydney - Outer South West,2005-02-01,7.83,123
124 Sydney - Outer West and Blue Mountains,2005-02-01,9.24,124
125 Sydney - Parramatta,2005-02-01,9.67,125
126 Sydney - Ryde,2005-02-01,6.81,126
127 Sydney - South West,2005-02-01,7.70,127
128 Sydney - Sutherland,2005-02-01,6.46,128
101 Capital Region,2005-02-01,7.83,101
103 New South Wales - Central West,2005-02-01,6.44,103
104 Coffs Harbour - Grafton,2005-02-01,8.27,104
105 Far West and Orana,2005-02-01,5.80,105
106 Hunter Valley exc Newcastle,2005-02-01,6.99,106
107 Illawarra,2005-02-01,11.19,107
108 Mid North Coast,2005-02-01,8.84,108
109 Murray,2005-02-01,9.36,109
110 New England and North West,2005-02-01,9.77,110
111 Newcastle and Lake Macquarie,2005-02-01,9.96,111
112 Richmond - Tweed,2005-02-01,9.94,112
113 Riverina,2005-02-01,8.53,113
114 Southern Highlands and Shoalhaven,2005-02-01,8.34,114
206 Melbourne - Inner,2005-02-01,7.58,206
207 Melbourne - Inner East,2005-02-01,8.90,207
208 Melbourne - Inner South,2005-02-01,7.46,208
209 Melbourne - North East,2005-02-01,8.11,209
210 Melbourne - North West,2005-02-01,8.21,210
211 Melbourne - Outer East,2005-02-01,8.30,211
212 Melbourne - South East,2005-02-01,8.36,212
213 Melbourne - West,2005-02-01,7.00,213
214 Mornington Peninsula,2005-02-01,7.69,214
201 Ballarat,2005-02-01,9.73,201
202 Bendigo,2005-02-01,12.49,202
203 Geelong,2005-02-01,10.43,203
204 Hume,2005-02-01,11.26,204
205 Latrobe - Gippsland,2005-02-01,9.05,205
215 Victoria - North West,2005-02-01,8.80,215
216 Shepparton,2005-02-01,8.39,216
217 Warrnambool and South West,2005-02-01,8.73,217
301 Brisbane - East,2005-02-01,8.12,301
302 Brisbane - North,2005-02-01,8.51,302
303 Brisbane - South,2005-02-01,8.01,303
304 Brisbane - West,2005-02-01,7.57,304
305 Brisbane Inner City,2005-02-01,7.36,305
310 Ipswich,2005-02-01,8.38,310
311 Logan - Beaudesert,2005-02-01,10.24,311
313 Moreton Bay - North,2005-02-01,9.02,313
314 Moreton Bay - South,2005-02-01,8.95,314
306 Cairns,2005-02-01,7.70,306
307 Darling Downs - Maranoa,2005-02-01,9.74,307
308 Fitzroy,2005-02-01,7.20,308
309 Gold Coast,2005-02-01,7.93,309
312 Mackay,2005-02-01,9.06,312
315 Queensland - Outback,2005-02-01,8.51,315
316 Sunshine Coast,2005-02-01,8.69,316
317 Toowoomba,2005-02-01,9.18,317
318 Townsville,2005-02-01,7.72,318
319 Wide Bay,2005-02-01,7.72,319
401 Adelaide - Central and Hills,2005-02-01,8.73,401
402 Adelaide - North,2005-02-01,8.08,402
403 Adelaide - South,2005-02-01,9.74,403
404 Adelaide - West,2005-02-01,10.60,404
405 Barossa - Yorke - Mid North,2005-02-01,7.47,405
406 South Australia - Outback,2005-02-01,6.85,406
407 South Australia - South East,2005-02-01,7.68,407
502 Mandurah,2005-02-01,7.36,502
503 Perth - Inner,2005-02-01,7.04,503
504 Perth - North East,2005-02-01,9.17,504
505 Perth - North West,2005-02-01,9.26,505
506 Perth - South East,2005-02-01,9.53,506
507 Perth - South West,2005-02-01,9.32,507
501 Bunbury,2005-02-01,8.78,501
508 Western Australia - Outback,2005-02-01,7.42,508
509 Western Australia - Wheat Belt,2005-02-01,9.37,509
601 Hobart,2005-02-01,7.19,601
602 Launceston and North East,2005-02-01,9.99,602
603 Tasmania - South East,2005-02-01,9.94,603
604 Tasmania - West and North West,2005-02-01,9.01,604
701 Darwin,2005-02-01,9.89,701
702 Northern Territory - Outback,2005-02-01,9.50,702
801 Australian Capital Territory,2005-02-01,13.51,801
102 Central Coast,2006-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2006-02-01,10.72,115
116 Sydney - Blacktown,2006-02-01,6.36,116
117 Sydney - City and Inner South,2006-02-01,8.14,117
118 Sydney - Eastern Suburbs,2006-02-01,8.31,118
119 Sydney - Inner South West,2006-02-01,8.45,119
120 Sydney - Inner West,2006-02-01,7.19,120
121 Sydney - North Sydney and Hornsby,2006-02-01,6.23,121
122 Sydney - Northern Beaches,2006-02-01,5.78,122
123 Sydney - Outer South West,2006-02-01,8.78,123
124 Sydney - Outer West and Blue Mountains,2006-02-01,8.98,124
125 Sydney - Parramatta,2006-02-01,10.74,125
126 Sydney - Ryde,2006-02-01,6.40,126
127 Sydney - South West,2006-02-01,6.31,127
128 Sydney - Sutherland,2006-02-01,6.84,128
101 Capital Region,2006-02-01,8.98,101
103 New South Wales - Central West,2006-02-01,9.16,103
104 Coffs Harbour - Grafton,2006-02-01,6.04,104
105 Far West and Orana,2006-02-01,8.09,105
106 Hunter Valley exc Newcastle,2006-02-01,10.26,106
107 Illawarra,2006-02-01,7.94,107
108 Mid North Coast,2006-02-01,10.30,108
109 Murray,2006-02-01,7.88,109
110 New England and North West,2006-02-01,7.64,110
111 Newcastle and Lake Macquarie,2006-02-01,7.26,111
112 Richmond - Tweed,2006-02-01,9.89,112
113 Riverina,2006-02-01,8.01,113
114 Southern Highlands and Shoalhaven,2006-02-01,9.41,114
206 Melbourne - Inner,2006-02-01,10.72,206
207 Melbourne - Inner East,2006-02-01,9.26,207
208 Melbourne - Inner South,2006-02-01,7.64,208
209 Melbourne - North East,2006-02-01,6.48,209
210 Melbourne - North West,2006-02-01,9.26,210
211 Melbourne - Outer East,2006-02-01,9.75,211
212 Melbourne - South East,2006-02-01,8.38,212
213 Melbourne - West,2006-02-01,7.92,213
214 Mornington Peninsula,2006-02-01,8.59,214
201 Ballarat,2006-02-01,9.78,201
202 Bendigo,2006-02-01,9.75,202
203 Geelong,2006-02-01,8.63,203
204 Hume,2006-02-01,9.65,204
205 Latrobe - Gippsland,2006-02-01,10.38,205
215 Victoria - North West,2006-02-01,9.00,215
216 Shepparton,2006-02-01,7.62,216
217 Warrnambool and South West,2006-02-01,5.37,217
301 Brisbane - East,2006-02-01,6.19,301
302 Brisbane - North,2006-02-01,8.50,302
303 Brisbane - South,2006-02-01,8.88,303
304 Brisbane - West,2006-02-01,6.72,304
305 Brisbane Inner City,2006-02-01,7.80,305
310 Ipswich,2006-02-01,8.51,310
311 Logan - Beaudesert,2006-02-01,10.56,311
313 Moreton Bay - North,2006-02-01,7.68,313
314 Moreton Bay - South,2006-02-01,9.39,314
306 Cairns,2006-02-01,7.84,306
307 Darling Downs - Maranoa,2006-02-01,13.24,307
308 Fitzroy,2006-02-01,4.55,308
309 Gold Coast,2006-02-01,9.10,309
312 Mackay,2006-02-01,9.29,312
315 Queensland - Outback,2006-02-01,6.61,315
316 Sunshine Coast,2006-02-01,10.43,316
317 Toowoomba,2006-02-01,9.74,317
318 Townsville,2006-02-01,6.83,318
319 Wide Bay,2006-02-01,10.78,319
401 Adelaide - Central and Hills,2006-02-01,6.93,401
402 Adelaide - North,2006-02-01,8.66,402
403 Adelaide - South,2006-02-01,9.21,403
404 Adelaide - West,2006-02-01,9.69,404
405 Barossa - Yorke - Mid North,2006-02-01,8.50,405
406 South Australia - Outback,2006-02-01,8.35,406
407 South Australia - South East,2006-02-01,9.67,407
502 Mandurah,2006-02-01,7.96,502
503 Perth - Inner,2006-02-01,8.04,503
504 Perth - North East,2006-02-01,6.89,504
505 Perth - North West,2006-02-01,9.41,505
506 Perth - South East,2006-02-01,9.23,506
507 Perth - South West,2006-02-01,8.80,507
501 Bunbury,2006-02-01,9.76,501
508 Western Australia - Outback,2006-02-01,7.59,508
509 Western Australia - Wheat Belt,2006-02-01,7.77,509
601 Hobart,2006-02-01,5.96,601
602 Launceston and North East,2006-02-01,10.31,602
603 Tasmania - South East,2006-02-01,8.73,603
604 Tasmania - West and North West,2006-02-01,9.75,604
701 Darwin,2006-02-01,7.37,701
702 Northern Territory - Outback,2006-02-01,9.27,702
801 Australian Capital Territory,2006-02-01,15.50,801
102 Central Coast,2007-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2007-02-01,10.67,115
116 Sydney - Blacktown,2007-02-01,7.55,116
117 Sydney - City and Inner South,2007-02-01,7.22,117
118 Sydney - Eastern Suburbs,2007-02-01,9.94,118
119 Sydney - Inner South West,2007-02-01,8.36,119
120 Sydney - Inner West,2007-02-01,7.62,120
121 Sydney - North Sydney and Hornsby,2007-02-01,8.55,121
122 Sydney - Northern Beaches,2007-02-01,6.92,122
123 Sydney - Outer South West,2007-02-01,9.33,123
124 Sydney - Outer West and Blue Mountains,2007-02-01,7.96,124
125 Sydney - Parramatta,2007-02-01,11.55,125
126 Sydney - Ryde,2007-02-01,6.53,126
127 Sydney - South West,2007-02-01,8.77,127
128 Sydney - Sutherland,2007-02-01,7.05,128
101 Capital Region,2007-02-01,7.88,101
103 New South Wales - Central West,2007-02-01,7.00,103
104 Coffs Harbour - Grafton,2007-02-01,7.81,104
105 Far West and Orana,2007-02-01,8.09,105
106 Hunter Valley exc Newcastle,2007-02-01,10.41,106
107 Illawarra,2007-02-01,10.45,107
108 Mid North Coast,2007-02-01,10.22,108
109 Murray,2007-02-01,10.28,109
110 New England and North West,2007-02-01,7.46,110
111 Newcastle and Lake Macquarie,2007-02-01,8.76,111
112 Richmond - Tweed,2007-02-01,9.14,112
113 Riverina,2007-02-01,11.92,113
114 Southern Highlands and Shoalhaven,2007-02-01,11.07,114
206 Melbourne - Inner,2007-02-01,12.26,206
207 Melbourne - Inner East,2007-02-01,8.25,207
208 Melbourne - Inner South,2007-02-01,7.20,208
209 Melbourne - North East,2007-02-01,6.53,209
210 Melbourne - North West,2007-02-01,7.67,210
211 Melbourne - Outer East,2007-02-01,9.81,211
212 Melbourne - South East,2007-02-01,8.76,212
213 Melbourne - West,2007-02-01,6.87,213
214 Mornington Peninsula,2007-02-01,8.31,214
201 Ballarat,2007-02-01,9.55,201
202 Bendigo,2007-02-01,7.41,202
203 Geelong,2007-02-01,8.01,203
204 Hume,2007-02-01,8.81,204
205 Latrobe - Gippsland,2007-02-01,8.50,205
215 Victoria - North West,2007-02-01,7.53,215
216 Shepparton,2007-02-01,7.99,216
217 Warrnambool and South West,2007-02-01,8.62,217
301 Brisbane - East,2007-02-01,8.20,301
302 Brisbane - North,2007-02-01,8.06,302
303 Brisbane - South,2007-02-01,9.39,303
304 Brisbane - West,2007-02-01,7.57,304
305 Brisbane Inner City,2007-02-01,8.12,305
310 Ipswich,2007-02-01,7.38,310
311 Logan - Beaudesert,2007-02-01,12.87,311
313 Moreton Bay - North,2007-02-01,7.71,313
314 Moreton Bay - South,2007-02-01,10.39,314
306 Cairns,2007-02-01,7.38,306
307 Darling Downs - Maranoa,2007-02-01,9.66,307
308 Fitzroy,2007-02-01,6.40,308
309 Gold Coast,2007-02-01,8.38,309
312 Mackay,2007-02-01,9.85,312
315 Queensland - Outback,2007-02-01,7.25,315
316 Sunshine Coast,2007-02-01,5.90,316
317 Toowoomba,2007-02-01,9.21,317
318 Townsville,2007-02-01,6.79,318
319 Wide Bay,2007-02-01,9.37,319
401 Adelaide - Central and Hills,2007-02-01,6.93,401
402 Adelaide - North,2007-02-01,7.65,402
403 Adelaide - South,2007-02-01,9.54,403
404 Adelaide - West,2007-02-01,10.72,404
405 Barossa - Yorke - Mid North,2007-02-01,9.28,405
406 South Australia - Outback,2007-02-01,6.92,406
407 South Australia - South East,2007-02-01,12.47,407
502 Mandurah,2007-02-01,7.71,502
503 Perth - Inner,2007-02-01,8.53,503
