Labour market region (SA4): ASGS (2011),date,percent total,sa4_code_2011
215 Victoria - North West,2015-08-01,35.91,215
216 Shepparton,2015-08-01,37.20,216
217 Warrnambool and South West,2015-08-01,42.19,217
301 Brisbane - East,2015-08-01,34.02,301
302 Brisbane - North,2015-08-01,24.60,302
303 Brisbane - South,2015-08-01,24.01,303
304 Brisbane - West,2015-08-01,17.50,304
305 Brisbane Inner City,2015-08-01,17.82,305
310 Ipswich,2015-08-01,38.52,310
311 Logan - Beaudesert,2015-08-01,42.29,311
313 Moreton Bay - North,2015-08-01,38.77,313
314 Moreton Bay - South,2015-08-01,30.51,314
306 Cairns,2015-08-01,35.50,306
307 Darling Downs - Maranoa,2015-08-01,45.89,307
308 Fitzroy,2015-08-01,41.33,308
309 Gold Coast,2015-08-01,30.48,309
312 Mackay,2015-08-01,49.69,312
315 Queensland - Outback,2015-08-01,33.45,315
316 Sunshine Coast,2015-08-01,32.48,316
317 Toowoomba,2015-08-01,40.94,317
318 Townsville,2015-08-01,37.71,318
319 Wide Bay,2015-08-01,33.79,319
401 Adelaide - Central and Hills,2015-08-01,21.30,401
402 Adelaide - North,2015-08-01,37.02,402
403 Adelaide - South,2015-08-01,27.96,403
404 Adelaide - West,2015-08-01,30.17,404
405 Barossa - Yorke - Mid North,2015-08-01,34.01,405
406 South Australia - Outback,2015-08-01,39.66,406
407 South Australia - South East,2015-08-01,35.79,407
502 Mandurah,2015-08-01,44.64,502
503 Perth - Inner,2015-08-01,17.35,503
504 Perth - North East,2015-08-01,37.00,504
505 Perth - North West,2015-08-01,32.16,505
506 Perth - South East,2015-08-01,35.23,506
507 Perth - South West,2015-08-01,35.96,507
501 Bunbury,2015-08-01,42.39,501
508 Western Australia - Outback,2015-08-01,52.19,508
509 Western Australia - Wheat Belt,2015-08-01,41.06,509
601 Hobart,2015-08-01,29.11,601
602 Launceston and North East,2015-08-01,36.42,602
603 Tasmania - South East,2015-08-01,41.90,603
604 Tasmania - West and North West,2015-08-01,38.92,604
701 Darwin,2015-08-01,33.45,701
702 Northern Territory - Outback,2015-08-01,32.41,702
801 Australian Capital Territory,2015-08-01,18.13,801
102 Central Coast,2016-08-01,29.95,102
115 Sydney - Baulkham Hills and Hawkesbury,2016-08-01,19.10,115
116 Sydney - Blacktown,2016-08-01,32.48,116
117 Sydney - City and Inner South,2016-08-01,14.11,117
118 Sydney - Eastern Suburbs,2016-08-01,13.63,118
119 Sydney - Inner South West,2016-08-01,29.54,119
120 Sydney - Inner West,2016-08-01,17.69,120
121 Sydney - North Sydney and Hornsby,2016-08-01,11.20,121
122 Sydney - Northern Beaches,2016-08-01,18.64,122
123 Sydney - Outer South West,2016-08-01,32.35,123
124 Sydney - Outer West and Blue Mountains,2016-08-01,33.38,124
125 Sydney - Parramatta,2016-08-01,30.20,125
126 Sydney - Ryde,2016-08-01,14.73,126
127 Sydney - South West,2016-08-01,38.92,127
128 Sydney - Sutherland,2016-08-01,21.49,128
101 Capital Region,2016-08-01,31.51,101
103 New South Wales - Central West,2016-08-01,36.42,103
104 Coffs Harbour - Grafton,2016-08-01,40.05,104
105 Far West and Orana,2016-08-01,34.20,105
106 Hunter Valley exc Newcastle,2016-08-01,42.49,106
107 Illawarra,2016-08-01,27.06,107
108 Mid North Coast,2016-08-01,27.90,108
109 Murray,2016-08-01,39.80,109
110 New England and North West,2016-08-01,41.46,110
111 Newcastle and Lake Macquarie,2016-08-01,31.07,111
112 Richmond - Tweed,2016-08-01,31.25,112
113 Riverina,2016-08-01,31.55,113
114 Southern Highlands and Shoalhaven,2016-08-01,39.15,114
206 Melbourne - Inner,2016-08-01,13.80,206
207 Melbourne - Inner East,2016-08-01,15.63,207
208 Melbourne - Inner South,2016-08-01,16.30,208
209 Melbourne - North East,2016-08-01,31.05,209
210 Melbourne - North West,2016-08-01,38.22,210
211 Melbourne - Outer East,2016-08-01,30.30,211
212 Melbourne - South East,2016-08-01,37.96,212
213 Melbourne - West,2016-08-01,33.78,213
214 Mornington Peninsula,2016-08-01,31.65,214
201 Ballarat,2016-08-01,33.65,201
202 Bendigo,2016-08-01,41.32,202
203 Geelong,2016-08-01,33.46,203
204 Hume,2016-08-01,34.45,204
205 Latrobe - Gippsland,2016-08-01,40.31,205
215 Victoria - North West,2016-08-01,37.53,215
216 Shepparton,2016-08-01,34.35,216
217 Warrnambool and South West,2016-08-01,31.24,217
301 Brisbane - East,2016-08-01,35.54,301
302 Brisbane - North,2016-08-01,24.04,302
303 Brisbane - South,2016-08-01,24.60,303
304 Brisbane - West,2016-08-01,17.37,304
305 Brisbane Inner City,2016-08-01,17.68,305
310 Ipswich,2016-08-01,38.62,310
311 Logan - Beaudesert,2016-08-01,40.14,311
313 Moreton Bay - North,2016-08-01,38.68,313
314 Moreton Bay - South,2016-08-01,28.32,314
306 Cairns,2016-08-01,35.48,306
307 Darling Downs - Maranoa,2016-08-01,42.83,307
308 Fitzroy,2016-08-01,39.84,308
309 Gold Coast,2016-08-01,31.59,309
312 Mackay,2016-08-01,46.94,312
315 Queensland - Outback,2016-08-01,46.99,315
316 Sunshine Coast,2016-08-01,32.45,316
317 Toowoomba,2016-08-01,31.71,317
318 Townsville,2016-08-01,34.72,318
319 Wide Bay,2016-08-01,37.07,319
401 Adelaide - Central and Hills,2016-08-01,19.38,401
402 Adelaide - North,2016-08-01,37.06,402
403 Adelaide - South,2016-08-01,28.92,403
404 Adelaide - West,2016-08-01,29.36,404
405 Barossa - Yorke - Mid North,2016-08-01,37.72,405
406 South Australia - Outback,2016-08-01,44.04,406
407 South Australia - South East,2016-08-01,38.58,407
502 Mandurah,2016-08-01,46.61,502
503 Perth - Inner,2016-08-01,15.81,503
504 Perth - North East,2016-08-01,36.23,504
505 Perth - North West,2016-08-01,29.40,505
506 Perth - South East,2016-08-01,36.62,506
507 Perth - South West,2016-08-01,32.76,507
501 Bunbury,2016-08-01,38.44,501
508 Western Australia - Outback,2016-08-01,52.25,508
509 Western Australia - Wheat Belt,2016-08-01,38.83,509
601 Hobart,2016-08-01,29.99,601
602 Launceston and North East,2016-08-01,34.20,602
603 Tasmania - South East,2016-08-01,40.54,603
604 Tasmania - West and North West,2016-08-01,41.42,604
701 Darwin,2016-08-01,34.33,701
702 Northern Territory - Outback,2016-08-01,29.15,702
801 Australian Capital Territory,2016-08-01,17.86,801
102 Central Coast,2000-02-01,37.38,102
115 Sydney - Baulkham Hills and Hawkesbury,2000-02-01,22.04,115
116 Sydney - Blacktown,2000-02-01,42.70,116
117 Sydney - City and Inner South,2000-02-01,25.94,117
118 Sydney - Eastern Suburbs,2000-02-01,20.18,118
119 Sydney - Inner South West,2000-02-01,38.21,119
120 Sydney - Inner West,2000-02-01,23.47,120
121 Sydney - North Sydney and Hornsby,2000-02-01,14.39,121
122 Sydney - Northern Beaches,2000-02-01,21.99,122
123 Sydney - Outer South West,2000-02-01,42.57,123
124 Sydney - Outer West and Blue Mountains,2000-02-01,36.02,124
125 Sydney - Parramatta,2000-02-01,35.21,125
126 Sydney - Ryde,2000-02-01,22.43,126
127 Sydney - South West,2000-02-01,51.27,127
128 Sydney - Sutherland,2000-02-01,28.75,128
101 Capital Region,2000-02-01,33.24,101
103 New South Wales - Central West,2000-02-01,38.76,103
104 Coffs Harbour - Grafton,2000-02-01,35.87,104
105 Far West and Orana,2000-02-01,33.14,105
106 Hunter Valley exc Newcastle,2000-02-01,49.04,106
107 Illawarra,2000-02-01,38.53,107
108 Mid North Coast,2000-02-01,41.23,108
109 Murray,2000-02-01,45.17,109
110 New England and North West,2000-02-01,33.14,110
111 Newcastle and Lake Macquarie,2000-02-01,36.05,111
112 Richmond - Tweed,2000-02-01,39.00,112
113 Riverina,2000-02-01,39.70,113
114 Southern Highlands and Shoalhaven,2000-02-01,38.24,114
206 Melbourne - Inner,2000-02-01,19.93,206
207 Melbourne - Inner East,2000-02-01,20.36,207
208 Melbourne - Inner South,2000-02-01,22.06,208
209 Melbourne - North East,2000-02-01,36.21,209
210 Melbourne - North West,2000-02-01,38.65,210
211 Melbourne - Outer East,2000-02-01,36.41,211
212 Melbourne - South East,2000-02-01,43.32,212
213 Melbourne - West,2000-02-01,42.22,213
214 Mornington Peninsula,2000-02-01,42.12,214
201 Ballarat,2000-02-01,42.00,201
202 Bendigo,2000-02-01,35.77,202
203 Geelong,2000-02-01,42.15,203
204 Hume,2000-02-01,37.18,204
205 Latrobe - Gippsland,2000-02-01,37.05,205
215 Victoria - North West,2000-02-01,37.28,215
216 Shepparton,2000-02-01,40.39,216
217 Warrnambool and South West,2000-02-01,39.80,217
301 Brisbane - East,2000-02-01,35.19,301
302 Brisbane - North,2000-02-01,35.56,302
303 Brisbane - South,2000-02-01,32.55,303
304 Brisbane - West,2000-02-01,18.86,304
305 Brisbane Inner City,2000-02-01,20.77,305
310 Ipswich,2000-02-01,43.56,310
311 Logan - Beaudesert,2000-02-01,48.56,311
313 Moreton Bay - North,2000-02-01,41.19,313
314 Moreton Bay - South,2000-02-01,34.64,314
306 Cairns,2000-02-01,39.69,306
307 Darling Downs - Maranoa,2000-02-01,37.76,307
308 Fitzroy,2000-02-01,43.26,308
309 Gold Coast,2000-02-01,35.99,309
312 Mackay,2000-02-01,44.40,312
315 Queensland - Outback,2000-02-01,43.56,315
316 Sunshine Coast,2000-02-01,39.71,316
317 Toowoomba,2000-02-01,38.85,317
318 Townsville,2000-02-01,38.26,318
319 Wide Bay,2000-02-01,43.72,319
401 Adelaide - Central and Hills,2000-02-01,24.89,401
402 Adelaide - North,2000-02-01,43.91,402
403 Adelaide - South,2000-02-01,35.83,403
404 Adelaide - West,2000-02-01,37.95,404
405 Barossa - Yorke - Mid North,2000-02-01,38.05,405
406 South Australia - Outback,2000-02-01,44.82,406
407 South Australia - South East,2000-02-01,43.18,407
502 Mandurah,2000-02-01,45.18,502
503 Perth - Inner,2000-02-01,18.57,503
504 Perth - North East,2000-02-01,39.87,504
505 Perth - North West,2000-02-01,33.92,505
506 Perth - South East,2000-02-01,38.45,506
507 Perth - South West,2000-02-01,35.09,507
501 Bunbury,2000-02-01,44.47,501
508 Western Australia - Outback,2000-02-01,44.27,508
509 Western Australia - Wheat Belt,2000-02-01,38.04,509
601 Hobart,2000-02-01,32.10,601
602 Launceston and North East,2000-02-01,40.23,602
603 Tasmania - South East,2000-02-01,43.73,603
604 Tasmania - West and North West,2000-02-01,44.10,604
701 Darwin,2000-02-01,31.25,701
702 Northern Territory - Outback,2000-02-01,40.38,702
801 Australian Capital Territory,2000-02-01,20.39,801
102 Central Coast,2001-02-01,35.10,102
115 Sydney - Baulkham Hills and Hawkesbury,2001-02-01,22.32,115
116 Sydney - Blacktown,2001-02-01,41.33,116
117 Sydney - City and Inner South,2001-02-01,24.52,117
118 Sydney - Eastern Suburbs,2001-02-01,15.99,118
119 Sydney - Inner South West,2001-02-01,36.68,119
120 Sydney - Inner West,2001-02-01,22.49,120
121 Sydney - North Sydney and Hornsby,2001-02-01,14.65,121
122 Sydney - Northern Beaches,2001-02-01,22.58,122
123 Sydney - Outer South West,2001-02-01,38.47,123
124 Sydney - Outer West and Blue Mountains,2001-02-01,39.40,124
125 Sydney - Parramatta,2001-02-01,35.91,125
126 Sydney - Ryde,2001-02-01,23.27,126
127 Sydney - South West,2001-02-01,47.91,127
128 Sydney - Sutherland,2001-02-01,25.80,128
101 Capital Region,2001-02-01,36.91,101
103 New South Wales - Central West,2001-02-01,41.51,103
104 Coffs Harbour - Grafton,2001-02-01,33.16,104
105 Far West and Orana,2001-02-01,32.65,105
106 Hunter Valley exc Newcastle,2001-02-01,41.26,106
107 Illawarra,2001-02-01,41.34,107
108 Mid North Coast,2001-02-01,36.03,108
109 Murray,2001-02-01,46.50,109
110 New England and North West,2001-02-01,34.91,110
111 Newcastle and Lake Macquarie,2001-02-01,35.26,111
112 Richmond - Tweed,2001-02-01,31.06,112
113 Riverina,2001-02-01,37.00,113
114 Southern Highlands and Shoalhaven,2001-02-01,40.98,114
206 Melbourne - Inner,2001-02-01,19.35,206
207 Melbourne - Inner East,2001-02-01,20.52,207
208 Melbourne - Inner South,2001-02-01,20.40,208
209 Melbourne - North East,2001-02-01,37.13,209
210 Melbourne - North West,2001-02-01,36.77,210
211 Melbourne - Outer East,2001-02-01,33.99,211
212 Melbourne - South East,2001-02-01,42.76,212
213 Melbourne - West,2001-02-01,44.31,213
214 Mornington Peninsula,2001-02-01,39.31,214
201 Ballarat,2001-02-01,32.92,201
202 Bendigo,2001-02-01,37.05,202
203 Geelong,2001-02-01,40.25,203
204 Hume,2001-02-01,36.42,204
205 Latrobe - Gippsland,2001-02-01,39.09,205
215 Victoria - North West,2001-02-01,36.00,215
216 Shepparton,2001-02-01,43.43,216
217 Warrnambool and South West,2001-02-01,38.89,217
301 Brisbane - East,2001-02-01,34.58,301
302 Brisbane - North,2001-02-01,31.61,302
303 Brisbane - South,2001-02-01,29.05,303
304 Brisbane - West,2001-02-01,20.52,304
305 Brisbane Inner City,2001-02-01,22.28,305
310 Ipswich,2001-02-01,47.98,310
311 Logan - Beaudesert,2001-02-01,47.99,311
313 Moreton Bay - North,2001-02-01,39.70,313
314 Moreton Bay - South,2001-02-01,31.70,314
306 Cairns,2001-02-01,36.80,306
307 Darling Downs - Maranoa,2001-02-01,35.72,307
308 Fitzroy,2001-02-01,40.83,308
309 Gold Coast,2001-02-01,35.01,309
312 Mackay,2001-02-01,40.85,312
315 Queensland - Outback,2001-02-01,46.42,315
316 Sunshine Coast,2001-02-01,37.79,316
317 Toowoomba,2001-02-01,36.58,317
318 Townsville,2001-02-01,34.66,318
319 Wide Bay,2001-02-01,40.23,319
401 Adelaide - Central and Hills,2001-02-01,24.70,401
402 Adelaide - North,2001-02-01,41.92,402
403 Adelaide - South,2001-02-01,35.70,403
404 Adelaide - West,2001-02-01,35.57,404
405 Barossa - Yorke - Mid North,2001-02-01,41.24,405
406 South Australia - Outback,2001-02-01,43.61,406
407 South Australia - South East,2001-02-01,45.29,407
502 Mandurah,2001-02-01,46.66,502
503 Perth - Inner,2001-02-01,18.69,503
504 Perth - North East,2001-02-01,34.98,504
505 Perth - North West,2001-02-01,32.34,505
506 Perth - South East,2001-02-01,35.18,506
507 Perth - South West,2001-02-01,35.26,507
501 Bunbury,2001-02-01,47.51,501
508 Western Australia - Outback,2001-02-01,44.07,508
509 Western Australia - Wheat Belt,2001-02-01,40.51,509
601 Hobart,2001-02-01,31.41,601
602 Launceston and North East,2001-02-01,39.36,602
603 Tasmania - South East,2001-02-01,42.51,603
604 Tasmania - West and North West,2001-02-01,42.78,604
701 Darwin,2001-02-01,31.44,701
702 Northern Territory - Outback,2001-02-01,44.89,702
801 Australian Capital Territory,2001-02-01,20.38,801
102 Central Coast,2002-02-01,38.76,102
115 Sydney - Baulkham Hills and Hawkesbury,2002-02-01,23.25,115
116 Sydney - Blacktown,2002-02-01,42.25,116
117 Sydney - City and Inner South,2002-02-01,20.54,117
118 Sydney - Eastern Suburbs,2002-02-01,18.23,118
119 Sydney - Inner South West,2002-02-01,35.77,119
120 Sydney - Inner West,2002-02-01,21.66,120
121 Sydney - North Sydney and Hornsby,2002-02-01,12.00,121
122 Sydney - Northern Beaches,2002-02-01,23.58,122
123 Sydney - Outer South West,2002-02-01,39.32,123
124 Sydney - Outer West and Blue Mountains,2002-02-01,36.77,124
125 Sydney - Parramatta,2002-02-01,36.63,125
126 Sydney - Ryde,2002-02-01,20.00,126
127 Sydney - South West,2002-02-01,43.36,127
128 Sydney - Sutherland,2002-02-01,25.89,128
101 Capital Region,2002-02-01,35.31,101
103 New South Wales - Central West,2002-02-01,35.57,103
104 Coffs Harbour - Grafton,2002-02-01,26.07,104
105 Far West and Orana,2002-02-01,32.11,105
106 Hunter Valley exc Newcastle,2002-02-01,42.23,106
107 Illawarra,2002-02-01,36.32,107
108 Mid North Coast,2002-02-01,41.51,108
109 Murray,2002-02-01,43.86,109
110 New England and North West,2002-02-01,38.08,110
111 Newcastle and Lake Macquarie,2002-02-01,36.44,111
112 Richmond - Tweed,2002-02-01,32.75,112
113 Riverina,2002-02-01,40.83,113
114 Southern Highlands and Shoalhaven,2002-02-01,37.68,114
206 Melbourne - Inner,2002-02-01,17.03,206
207 Melbourne - Inner East,2002-02-01,17.94,207
208 Melbourne - Inner South,2002-02-01,20.49,208
209 Melbourne - North East,2002-02-01,36.24,209
210 Melbourne - North West,2002-02-01,40.36,210
211 Melbourne - Outer East,2002-02-01,33.57,211
212 Melbourne - South East,2002-02-01,40.96,212
213 Melbourne - West,2002-02-01,41.59,213
214 Mornington Peninsula,2002-02-01,39.23,214
201 Ballarat,2002-02-01,39.35,201
202 Bendigo,2002-02-01,35.34,202
203 Geelong,2002-02-01,34.42,203
204 Hume,2002-02-01,38.91,204
205 Latrobe - Gippsland,2002-02-01,34.86,205
215 Victoria - North West,2002-02-01,32.50,215
216 Shepparton,2002-02-01,37.71,216
217 Warrnambool and South West,2002-02-01,37.11,217
301 Brisbane - East,2002-02-01,33.14,301
302 Brisbane - North,2002-02-01,32.84,302
303 Brisbane - South,2002-02-01,27.64,303
304 Brisbane - West,2002-02-01,20.87,304
305 Brisbane Inner City,2002-02-01,21.80,305
310 Ipswich,2002-02-01,45.97,310
311 Logan - Beaudesert,2002-02-01,47.93,311
313 Moreton Bay - North,2002-02-01,40.17,313
314 Moreton Bay - South,2002-02-01,30.36,314
306 Cairns,2002-02-01,36.49,306
307 Darling Downs - Maranoa,2002-02-01,42.43,307
308 Fitzroy,2002-02-01,42.03,308
309 Gold Coast,2002-02-01,33.07,309
312 Mackay,2002-02-01,43.21,312
315 Queensland - Outback,2002-02-01,51.60,315
316 Sunshine Coast,2002-02-01,37.10,316
317 Toowoomba,2002-02-01,40.00,317
318 Townsville,2002-02-01,34.00,318
319 Wide Bay,2002-02-01,39.91,319
401 Adelaide - Central and Hills,2002-02-01,23.83,401
402 Adelaide - North,2002-02-01,43.47,402
403 Adelaide - South,2002-02-01,33.83,403
404 Adelaide - West,2002-02-01,33.73,404
405 Barossa - Yorke - Mid North,2002-02-01,39.15,405
406 South Australia - Outback,2002-02-01,44.62,406
407 South Australia - South East,2002-02-01,39.93,407
502 Mandurah,2002-02-01,39.66,502
503 Perth - Inner,2002-02-01,18.27,503
504 Perth - North East,2002-02-01,35.34,504
505 Perth - North West,2002-02-01,33.09,505
506 Perth - South East,2002-02-01,36.36,506
507 Perth - South West,2002-02-01,35.39,507
501 Bunbury,2002-02-01,46.06,501
508 Western Australia - Outback,2002-02-01,42.91,508
509 Western Australia - Wheat Belt,2002-02-01,36.18,509
601 Hobart,2002-02-01,31.52,601
602 Launceston and North East,2002-02-01,37.18,602
603 Tasmania - South East,2002-02-01,46.37,603
604 Tasmania - West and North West,2002-02-01,43.55,604
701 Darwin,2002-02-01,29.59,701
702 Northern Territory - Outback,2002-02-01,42.92,702
801 Australian Capital Territory,2002-02-01,20.14,801
102 Central Coast,2003-02-01,35.97,102
115 Sydney - Baulkham Hills and Hawkesbury,2003-02-01,23.53,115
116 Sydney - Blacktown,2003-02-01,36.06,116
117 Sydney - City and Inner South,2003-02-01,22.50,117
118 Sydney - Eastern Suburbs,2003-02-01,16.60,118
119 Sydney - Inner South West,2003-02-01,35.45,119
120 Sydney - Inner West,2003-02-01,22.52,120
121 Sydney - North Sydney and Hornsby,2003-02-01,15.03,121
122 Sydney - Northern Beaches,2003-02-01,24.73,122
123 Sydney - Outer South West,2003-02-01,40.76,123
124 Sydney - Outer West and Blue Mountains,2003-02-01,36.35,124
125 Sydney - Parramatta,2003-02-01,35.70,125
126 Sydney - Ryde,2003-02-01,19.72,126
127 Sydney - South West,2003-02-01,47.04,127
128 Sydney - Sutherland,2003-02-01,26.65,128
101 Capital Region,2003-02-01,37.39,101
103 New South Wales - Central West,2003-02-01,43.67,103
104 Coffs Harbour - Grafton,2003-02-01,32.87,104
105 Far West and Orana,2003-02-01,37.63,105
106 Hunter Valley exc Newcastle,2003-02-01,46.06,106
107 Illawarra,2003-02-01,36.19,107
108 Mid North Coast,2003-02-01,42.86,108
109 Murray,2003-02-01,40.82,109
110 New England and North West,2003-02-01,36.28,110
111 Newcastle and Lake Macquarie,2003-02-01,35.95,111
112 Richmond - Tweed,2003-02-01,33.77,112
113 Riverina,2003-02-01,33.97,113
114 Southern Highlands and Shoalhaven,2003-02-01,37.52,114
206 Melbourne - Inner,2003-02-01,17.85,206
207 Melbourne - Inner East,2003-02-01,17.82,207
208 Melbourne - Inner South,2003-02-01,19.57,208
209 Melbourne - North East,2003-02-01,35.39,209
210 Melbourne - North West,2003-02-01,39.87,210
211 Melbourne - Outer East,2003-02-01,34.21,211
212 Melbourne - South East,2003-02-01,40.05,212
213 Melbourne - West,2003-02-01,39.63,213
214 Mornington Peninsula,2003-02-01,42.97,214
201 Ballarat,2003-02-01,34.16,201
202 Bendigo,2003-02-01,36.06,202
203 Geelong,2003-02-01,35.02,203
204 Hume,2003-02-01,37.45,204
205 Latrobe - Gippsland,2003-02-01,39.72,205
215 Victoria - North West,2003-02-01,31.77,215
216 Shepparton,2003-02-01,36.95,216
217 Warrnambool and South West,2003-02-01,39.31,217
301 Brisbane - East,2003-02-01,34.16,301
302 Brisbane - North,2003-02-01,33.69,302
303 Brisbane - South,2003-02-01,28.05,303
304 Brisbane - West,2003-02-01,18.62,304
305 Brisbane Inner City,2003-02-01,18.06,305
310 Ipswich,2003-02-01,43.62,310
311 Logan - Beaudesert,2003-02-01,45.91,311
313 Moreton Bay - North,2003-02-01,40.71,313
314 Moreton Bay - South,2003-02-01,31.64,314
306 Cairns,2003-02-01,34.14,306
307 Darling Downs - Maranoa,2003-02-01,35.99,307
308 Fitzroy,2003-02-01,43.07,308
309 Gold Coast,2003-02-01,33.69,309
312 Mackay,2003-02-01,43.61,312
315 Queensland - Outback,2003-02-01,41.89,315
316 Sunshine Coast,2003-02-01,34.77,316
317 Toowoomba,2003-02-01,42.46,317
318 Townsville,2003-02-01,31.74,318
319 Wide Bay,2003-02-01,37.80,319
401 Adelaide - Central and Hills,2003-02-01,23.47,401
402 Adelaide - North,2003-02-01,43.93,402
403 Adelaide - South,2003-02-01,34.05,403
404 Adelaide - West,2003-02-01,34.32,404
405 Barossa - Yorke - Mid North,2003-02-01,40.22,405
406 South Australia - Outback,2003-02-01,48.35,406
407 South Australia - South East,2003-02-01,41.12,407
502 Mandurah,2003-02-01,49.08,502
503 Perth - Inner,2003-02-01,15.36,503
504 Perth - North East,2003-02-01,34.68,504
505 Perth - North West,2003-02-01,32.00,505
506 Perth - South East,2003-02-01,33.86,506
507 Perth - South West,2003-02-01,33.42,507
501 Bunbury,2003-02-01,43.80,501
508 Western Australia - Outback,2003-02-01,48.93,508
509 Western Australia - Wheat Belt,2003-02-01,33.52,509
601 Hobart,2003-02-01,30.91,601
602 Launceston and North East,2003-02-01,38.41,602
603 Tasmania - South East,2003-02-01,44.88,603
604 Tasmania - West and North West,2003-02-01,41.94,604
701 Darwin,2003-02-01,30.76,701
702 Northern Territory - Outback,2003-02-01,42.80,702
801 Australian Capital Territory,2003-02-01,19.11,801
102 Central Coast,2004-02-01,38.45,102
115 Sydney - Baulkham Hills and Hawkesbury,2004-02-01,25.25,115
116 Sydney - Blacktown,2004-02-01,41.96,116
117 Sydney - City and Inner South,2004-02-01,22.52,117
118 Sydney - Eastern Suburbs,2004-02-01,16.12,118
119 Sydney - Inner South West,2004-02-01,36.34,119
120 Sydney - Inner West,2004-02-01,21.52,120
121 Sydney - North Sydney and Hornsby,2004-02-01,14.27,121
122 Sydney - Northern Beaches,2004-02-01,23.08,122
123 Sydney - Outer South West,2004-02-01,40.57,123
124 Sydney - Outer West and Blue Mountains,2004-02-01,32.71,124
125 Sydney - Parramatta,2004-02-01,35.52,125
126 Sydney - Ryde,2004-02-01,17.13,126
127 Sydney - South West,2004-02-01,40.26,127
128 Sydney - Sutherland,2004-02-01,28.22,128
101 Capital Region,2004-02-01,35.50,101
103 New South Wales - Central West,2004-02-01,42.72,103
104 Coffs Harbour - Grafton,2004-02-01,41.76,104
105 Far West and Orana,2004-02-01,31.89,105
106 Hunter Valley exc Newcastle,2004-02-01,41.63,106
107 Illawarra,2004-02-01,39.84,107
108 Mid North Coast,2004-02-01,36.63,108
109 Murray,2004-02-01,37.63,109
110 New England and North West,2004-02-01,33.53,110
111 Newcastle and Lake Macquarie,2004-02-01,35.84,111
112 Richmond - Tweed,2004-02-01,33.43,112
113 Riverina,2004-02-01,37.57,113
114 Southern Highlands and Shoalhaven,2004-02-01,37.90,114
206 Melbourne - Inner,2004-02-01,18.01,206
207 Melbourne - Inner East,2004-02-01,17.63,207
208 Melbourne - Inner South,2004-02-01,19.07,208
209 Melbourne - North East,2004-02-01,32.62,209
210 Melbourne - North West,2004-02-01,40.86,210
211 Melbourne - Outer East,2004-02-01,34.05,211
212 Melbourne - South East,2004-02-01,40.96,212
213 Melbourne - West,2004-02-01,40.85,213
214 Mornington Peninsula,2004-02-01,37.24,214
201 Ballarat,2004-02-01,40.62,201
202 Bendigo,2004-02-01,33.94,202
203 Geelong,2004-02-01,40.85,203
204 Hume,2004-02-01,36.91,204
205 Latrobe - Gippsland,2004-02-01,34.89,205
215 Victoria - North West,2004-02-01,33.40,215
216 Shepparton,2004-02-01,35.49,216
217 Warrnambool and South West,2004-02-01,37.62,217
301 Brisbane - East,2004-02-01,40.21,301
302 Brisbane - North,2004-02-01,31.87,302
303 Brisbane - South,2004-02-01,27.24,303
304 Brisbane - West,2004-02-01,18.40,304
305 Brisbane Inner City,2004-02-01,17.01,305
310 Ipswich,2004-02-01,45.49,310
311 Logan - Beaudesert,2004-02-01,48.09,311
313 Moreton Bay - North,2004-02-01,42.42,313
314 Moreton Bay - South,2004-02-01,37.20,314
306 Cairns,2004-02-01,37.56,306
307 Darling Downs - Maranoa,2004-02-01,34.70,307
308 Fitzroy,2004-02-01,43.20,308
309 Gold Coast,2004-02-01,32.42,309
312 Mackay,2004-02-01,43.91,312
315 Queensland - Outback,2004-02-01,45.99,315
316 Sunshine Coast,2004-02-01,33.61,316
317 Toowoomba,2004-02-01,35.57,317
318 Townsville,2004-02-01,38.96,318
319 Wide Bay,2004-02-01,38.69,319
401 Adelaide - Central and Hills,2004-02-01,22.39,401
402 Adelaide - North,2004-02-01,42.39,402
403 Adelaide - South,2004-02-01,33.50,403
404 Adelaide - West,2004-02-01,33.59,404
405 Barossa - Yorke - Mid North,2004-02-01,38.14,405
406 South Australia - Outback,2004-02-01,44.09,406
407 South Australia - South East,2004-02-01,41.97,407
502 Mandurah,2004-02-01,47.81,502
503 Perth - Inner,2004-02-01,15.19,503
504 Perth - North East,2004-02-01,35.87,504
505 Perth - North West,2004-02-01,31.56,505
506 Perth - South East,2004-02-01,36.31,506
507 Perth - South West,2004-02-01,32.89,507
501 Bunbury,2004-02-01,48.17,501
508 Western Australia - Outback,2004-02-01,43.59,508
509 Western Australia - Wheat Belt,2004-02-01,40.00,509
601 Hobart,2004-02-01,29.48,601
602 Launceston and North East,2004-02-01,39.18,602
603 Tasmania - South East,2004-02-01,45.99,603
604 Tasmania - West and North West,2004-02-01,42.77,604
701 Darwin,2004-02-01,32.81,701
702 Northern Territory - Outback,2004-02-01,41.08,702
801 Australian Capital Territory,2004-02-01,20.31,801
102 Central Coast,2005-02-01,34.75,102
115 Sydney - Baulkham Hills and Hawkesbury,2005-02-01,24.41,115
116 Sydney - Blacktown,2005-02-01,41.28,116
117 Sydney - City and Inner South,2005-02-01,21.86,117
118 Sydney - Eastern Suburbs,2005-02-01,19.27,118
119 Sydney - Inner South West,2005-02-01,35.12,119
120 Sydney - Inner West,2005-02-01,23.07,120
121 Sydney - North Sydney and Hornsby,2005-02-01,13.41,121
