Labour market region (SA4): ASGS (2011),date,percent part-time,sa4_code_2011
102 Central Coast,1999-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,1999-08-01,38.42,115
116 Sydney - Blacktown,1999-08-01,21.19,116
117 Sydney - City and Inner South,1999-08-01,42.89,117
118 Sydney - Eastern Suburbs,1999-08-01,24.44,118
119 Sydney - Inner South West,1999-08-01,19.99,119
120 Sydney - Inner West,1999-08-01,38.13,120
121 Sydney - North Sydney and Hornsby,1999-08-01,22.03,121
122 Sydney - Northern Beaches,1999-08-01,14.05,122
123 Sydney - Outer South West,1999-08-01,23.31,123
124 Sydney - Outer West and Blue Mountains,1999-08-01,42.10,124
125 Sydney - Parramatta,1999-08-01,36.69,125
126 Sydney - Ryde,1999-08-01,35.78,126
127 Sydney - South West,1999-08-01,25.15,127
128 Sydney - Sutherland,1999-08-01,50.49,128
101 Capital Region,1999-08-01,28.64,101
103 New South Wales - Central West,1999-08-01,35.96,103
104 Coffs Harbour - Grafton,1999-08-01,41.17,104
105 Far West and Orana,1999-08-01,36.02,105
106 Hunter Valley exc Newcastle,1999-08-01,33.95,106
107 Illawarra,1999-08-01,48.86,107
108 Mid North Coast,1999-08-01,37.37,108
109 Murray,1999-08-01,37.34,109
110 New England and North West,1999-08-01,44.52,110
111 Newcastle and Lake Macquarie,1999-08-01,36.62,111
112 Richmond - Tweed,1999-08-01,36.01,112
113 Riverina,1999-08-01,38.68,113
114 Southern Highlands and Shoalhaven,1999-08-01,38.18,114
206 Melbourne - Inner,1999-08-01,35.09,206
207 Melbourne - Inner East,1999-08-01,19.25,207
208 Melbourne - Inner South,1999-08-01,17.67,208
209 Melbourne - North East,1999-08-01,22.53,209
210 Melbourne - North West,1999-08-01,36.95,210
211 Melbourne - Outer East,1999-08-01,38.92,211
212 Melbourne - South East,1999-08-01,37.08,212
213 Melbourne - West,1999-08-01,43.73,213
214 Mornington Peninsula,1999-08-01,41.44,214
201 Ballarat,1999-08-01,42.71,201
202 Bendigo,1999-08-01,41.99,202
203 Geelong,1999-08-01,35.48,203
204 Hume,1999-08-01,41.27,204
205 Latrobe - Gippsland,1999-08-01,40.33,205
215 Victoria - North West,1999-08-01,38.87,215
216 Shepparton,1999-08-01,37.10,216
217 Warrnambool and South West,1999-08-01,39.73,217
301 Brisbane - East,1999-08-01,38.15,301
302 Brisbane - North,1999-08-01,34.06,302
303 Brisbane - South,1999-08-01,38.41,303
304 Brisbane - West,1999-08-01,31.87,304
305 Brisbane Inner City,1999-08-01,20.46,305
310 Ipswich,1999-08-01,19.72,310
311 Logan - Beaudesert,1999-08-01,45.04,311
313 Moreton Bay - North,1999-08-01,48.34,313
314 Moreton Bay - South,1999-08-01,41.88,314
306 Cairns,1999-08-01,34.48,306
307 Darling Downs - Maranoa,1999-08-01,37.39,307
308 Fitzroy,1999-08-01,40.66,308
309 Gold Coast,1999-08-01,47.58,309
312 Mackay,1999-08-01,35.18,312
315 Queensland - Outback,1999-08-01,45.88,315
316 Sunshine Coast,1999-08-01,49.20,316
317 Toowoomba,1999-08-01,37.62,317
318 Townsville,1999-08-01,40.15,318
319 Wide Bay,1999-08-01,38.18,319
401 Adelaide - Central and Hills,1999-08-01,44.66,401
402 Adelaide - North,1999-08-01,25.41,402
403 Adelaide - South,1999-08-01,44.82,403
404 Adelaide - West,1999-08-01,32.47,404
405 Barossa - Yorke - Mid North,1999-08-01,37.99,405
406 South Australia - Outback,1999-08-01,37.06,406
407 South Australia - South East,1999-08-01,43.04,407
502 Mandurah,1999-08-01,44.04,502
503 Perth - Inner,1999-08-01,44.04,503
504 Perth - North East,1999-08-01,18.47,504
505 Perth - North West,1999-08-01,38.82,505
506 Perth - South East,1999-08-01,33.94,506
507 Perth - South West,1999-08-01,37.72,507
501 Bunbury,1999-08-01,35.61,501
508 Western Australia - Outback,1999-08-01,45.26,508
509 Western Australia - Wheat Belt,1999-08-01,40.95,509
601 Hobart,1999-08-01,38.62,601
602 Launceston and North East,1999-08-01,32.64,602
603 Tasmania - South East,1999-08-01,40.91,603
604 Tasmania - West and North West,1999-08-01,47.59,604
701 Darwin,1999-08-01,46.56,701
702 Northern Territory - Outback,1999-08-01,33.00,702
801 Australian Capital Territory,1999-08-01,39.47,801
102 Central Coast,2000-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2000-08-01,36.38,115
116 Sydney - Blacktown,2000-08-01,22.85,116
117 Sydney - City and Inner South,2000-08-01,41.76,117
118 Sydney - Eastern Suburbs,2000-08-01,24.42,118
119 Sydney - Inner South West,2000-08-01,18.90,119
120 Sydney - Inner West,2000-08-01,37.68,120
121 Sydney - North Sydney and Hornsby,2000-08-01,24.57,121
122 Sydney - Northern Beaches,2000-08-01,14.48,122
123 Sydney - Outer South West,2000-08-01,22.12,123
