Labour market region (SA4): ASGS (2011),date,percent total workers,sa4_code_2011
217 Warrnambool and South West,2011-08-01,0.2031,217
301 Brisbane - East,2011-08-01,0.2824,301
302 Brisbane - North,2011-08-01,0.2881,302
303 Brisbane - South,2011-08-01,0.2719,303
304 Brisbane - West,2011-08-01,0.2333,304
305 Brisbane Inner City,2011-08-01,0.2245,305
310 Ipswich,2011-08-01,0.2421,310
311 Logan - Beaudesert,2011-08-01,0.2592,311
313 Moreton Bay - North,2011-08-01,0.2817,313
314 Moreton Bay - South,2011-08-01,0.2805,314
306 Cairns,2011-08-01,0.2345,306
307 Darling Downs - Maranoa,2011-08-01,0.2271,307
308 Fitzroy,2011-08-01,0.2126,308
309 Gold Coast,2011-08-01,0.2465,309
312 Mackay,2011-08-01,0.1962,312
315 Queensland - Outback,2011-08-01,0.1761,315
316 Sunshine Coast,2011-08-01,0.2496,316
317 Toowoomba,2011-08-01,0.23,317
318 Townsville,2011-08-01,0.2669,318
319 Wide Bay,2011-08-01,0.2369,319
401 Adelaide - Central and Hills,2011-08-01,0.2436,401
402 Adelaide - North,2011-08-01,0.2634,402
403 Adelaide - South,2011-08-01,0.2579,403
404 Adelaide - West,2011-08-01,0.2728,404
405 Barossa - Yorke - Mid North,2011-08-01,0.1418,405
406 South Australia - Outback,2011-08-01,0.1809,406
407 South Australia - South East,2011-08-01,0.1992,407
502 Mandurah,2011-08-01,0.2349,502
503 Perth - Inner,2011-08-01,0.1954,503
504 Perth - North East,2011-08-01,0.2153,504
505 Perth - North West,2011-08-01,0.2519,505
506 Perth - South East,2011-08-01,0.2457,506
507 Perth - South West,2011-08-01,0.2349,507
501 Bunbury,2011-08-01,0.2098,501
508 Western Australia - Outback,2011-08-01,0.1928,508
509 Western Australia - Wheat Belt,2011-08-01,0.1763,509
601 Hobart,2011-08-01,0.2624,601
602 Launceston and North East,2011-08-01,0.2309,602
603 Tasmania - South East,2011-08-01,0.1846,603
604 Tasmania - West and North West,2011-08-01,0.2134,604
701 Darwin,2011-08-01,0.263,701
702 Northern Territory - Outback,2011-08-01,0.1895,702
801 Australian Capital Territory,2011-08-01,0.2649,801
102 Central Coast,2012-08-01,0.2713,102
115 Sydney - Baulkham Hills and Hawkesbury,2012-08-01,0.2858,115
116 Sydney - Blacktown,2012-08-01,0.2726,116
117 Sydney - City and Inner South,2012-08-01,0.2107,117
118 Sydney - Eastern Suburbs,2012-08-01,0.2386,118
119 Sydney - Inner South West,2012-08-01,0.2635,119
120 Sydney - Inner West,2012-08-01,0.23,120
121 Sydney - North Sydney and Hornsby,2012-08-01,0.2161,121
122 Sydney - Northern Beaches,2012-08-01,0.2407,122
123 Sydney - Outer South West,2012-08-01,0.2614,123
124 Sydney - Outer West and Blue Mountains,2012-08-01,0.2519,124
125 Sydney - Parramatta,2012-08-01,0.2668,125
126 Sydney - Ryde,2012-08-01,0.2899,126
127 Sydney - South West,2012-08-01,0.2537,127
128 Sydney - Sutherland,2012-08-01,0.2834,128
101 Capital Region,2012-08-01,0.2156,101
103 New South Wales - Central West,2012-08-01,0.2234,103
104 Coffs Harbour - Grafton,2012-08-01,0.3171,104
105 Far West and Orana,2012-08-01,0.2018,105
106 Hunter Valley exc Newcastle,2012-08-01,0.1959,106
107 Illawarra,2012-08-01,0.2483,107
108 Mid North Coast,2012-08-01,0.252,108
109 Murray,2012-08-01,0.2125,109
110 New England and North West,2012-08-01,0.2528,110
111 Newcastle and Lake Macquarie,2012-08-01,0.2248,111
112 Richmond - Tweed,2012-08-01,0.2158,112
113 Riverina,2012-08-01,0.2162,113
114 Southern Highlands and Shoalhaven,2012-08-01,0.2246,114
206 Melbourne - Inner,2012-08-01,0.1939,206
207 Melbourne - Inner East,2012-08-01,0.2179,207
208 Melbourne - Inner South,2012-08-01,0.2318,208
209 Melbourne - North East,2012-08-01,0.2587,209
210 Melbourne - North West,2012-08-01,0.3148,210
211 Melbourne - Outer East,2012-08-01,0.2663,211
212 Melbourne - South East,2012-08-01,0.2673,212
213 Melbourne - West,2012-08-01,0.2628,213
214 Mornington Peninsula,2012-08-01,0.2946,214
201 Ballarat,2012-08-01,0.2317,201
202 Bendigo,2012-08-01,0.2073,202
203 Geelong,2012-08-01,0.1912,203
204 Hume,2012-08-01,0.1759,204
205 Latrobe - Gippsland,2012-08-01,0.2295,205
215 Victoria - North West,2012-08-01,0.2148,215
216 Shepparton,2012-08-01,0.2135,216
217 Warrnambool and South West,2012-08-01,0.228,217
301 Brisbane - East,2012-08-01,0.2353,301
302 Brisbane - North,2012-08-01,0.2835,302
303 Brisbane - South,2012-08-01,0.2573,303
304 Brisbane - West,2012-08-01,0.2224,304
305 Brisbane Inner City,2012-08-01,0.2031,305
310 Ipswich,2012-08-01,0.2398,310
311 Logan - Beaudesert,2012-08-01,0.2513,311
313 Moreton Bay - North,2012-08-01,0.2528,313
314 Moreton Bay - South,2012-08-01,0.2893,314
306 Cairns,2012-08-01,0.2557,306
307 Darling Downs - Maranoa,2012-08-01,0.2299,307
308 Fitzroy,2012-08-01,0.2194,308
309 Gold Coast,2012-08-01,0.2662,309
312 Mackay,2012-08-01,0.2399,312
315 Queensland - Outback,2012-08-01,0.1515,315
316 Sunshine Coast,2012-08-01,0.2252,316
317 Toowoomba,2012-08-01,0.2559,317
318 Townsville,2012-08-01,0.2513,318
319 Wide Bay,2012-08-01,0.21,319
401 Adelaide - Central and Hills,2012-08-01,0.2435,401
402 Adelaide - North,2012-08-01,0.2646,402
403 Adelaide - South,2012-08-01,0.2542,403
404 Adelaide - West,2012-08-01,0.2643,404
405 Barossa - Yorke - Mid North,2012-08-01,0.1935,405
406 South Australia - Outback,2012-08-01,0.1775,406
407 South Australia - South East,2012-08-01,0.178,407
502 Mandurah,2012-08-01,0.171,502
503 Perth - Inner,2012-08-01,0.2015,503
504 Perth - North East,2012-08-01,0.2254,504
505 Perth - North West,2012-08-01,0.2409,505
506 Perth - South East,2012-08-01,0.2438,506
507 Perth - South West,2012-08-01,0.2552,507
501 Bunbury,2012-08-01,0.1855,501
508 Western Australia - Outback,2012-08-01,0.1846,508
509 Western Australia - Wheat Belt,2012-08-01,0.162,509
601 Hobart,2012-08-01,0.2618,601
602 Launceston and North East,2012-08-01,0.2212,602
603 Tasmania - South East,2012-08-01,0.1748,603
604 Tasmania - West and North West,2012-08-01,0.1807,604
701 Darwin,2012-08-01,0.238,701
702 Northern Territory - Outback,2012-08-01,0.1969,702
801 Australian Capital Territory,2012-08-01,0.2674,801
102 Central Coast,2013-08-01,0.2334,102
115 Sydney - Baulkham Hills and Hawkesbury,2013-08-01,0.2923,115
116 Sydney - Blacktown,2013-08-01,0.2821,116
117 Sydney - City and Inner South,2013-08-01,0.1985,117
118 Sydney - Eastern Suburbs,2013-08-01,0.2148,118
119 Sydney - Inner South West,2013-08-01,0.2894,119
120 Sydney - Inner West,2013-08-01,0.2446,120
121 Sydney - North Sydney and Hornsby,2013-08-01,0.2212,121
122 Sydney - Northern Beaches,2013-08-01,0.2222,122
123 Sydney - Outer South West,2013-08-01,0.2748,123
124 Sydney - Outer West and Blue Mountains,2013-08-01,0.2422,124
125 Sydney - Parramatta,2013-08-01,0.2353,125
126 Sydney - Ryde,2013-08-01,0.2362,126
127 Sydney - South West,2013-08-01,0.2744,127
128 Sydney - Sutherland,2013-08-01,0.3012,128
101 Capital Region,2013-08-01,0.232,101
103 New South Wales - Central West,2013-08-01,0.2,103
104 Coffs Harbour - Grafton,2013-08-01,0.2439,104
105 Far West and Orana,2013-08-01,0.1691,105
106 Hunter Valley exc Newcastle,2013-08-01,0.2083,106
107 Illawarra,2013-08-01,0.2271,107
108 Mid North Coast,2013-08-01,0.2692,108
109 Murray,2013-08-01,0.2151,109
110 New England and North West,2013-08-01,0.2309,110
111 Newcastle and Lake Macquarie,2013-08-01,0.2612,111
112 Richmond - Tweed,2013-08-01,0.2089,112
113 Riverina,2013-08-01,0.2208,113
114 Southern Highlands and Shoalhaven,2013-08-01,0.214,114
206 Melbourne - Inner,2013-08-01,0.205,206
207 Melbourne - Inner East,2013-08-01,0.233,207
208 Melbourne - Inner South,2013-08-01,0.2408,208
209 Melbourne - North East,2013-08-01,0.2596,209
210 Melbourne - North West,2013-08-01,0.2527,210
211 Melbourne - Outer East,2013-08-01,0.2667,211
212 Melbourne - South East,2013-08-01,0.2522,212
213 Melbourne - West,2013-08-01,0.2586,213
214 Mornington Peninsula,2013-08-01,0.2583,214
201 Ballarat,2013-08-01,0.2196,201
202 Bendigo,2013-08-01,0.2345,202
203 Geelong,2013-08-01,0.2368,203
204 Hume,2013-08-01,0.2071,204
205 Latrobe - Gippsland,2013-08-01,0.241,205
215 Victoria - North West,2013-08-01,0.1857,215
216 Shepparton,2013-08-01,0.2032,216
217 Warrnambool and South West,2013-08-01,0.2193,217
301 Brisbane - East,2013-08-01,0.2698,301
302 Brisbane - North,2013-08-01,0.2684,302
303 Brisbane - South,2013-08-01,0.2667,303
304 Brisbane - West,2013-08-01,0.2277,304
305 Brisbane Inner City,2013-08-01,0.2013,305
310 Ipswich,2013-08-01,0.2429,310
311 Logan - Beaudesert,2013-08-01,0.2928,311
313 Moreton Bay - North,2013-08-01,0.2709,313
314 Moreton Bay - South,2013-08-01,0.275,314
306 Cairns,2013-08-01,0.2563,306
307 Darling Downs - Maranoa,2013-08-01,0.1934,307
308 Fitzroy,2013-08-01,0.1882,308
309 Gold Coast,2013-08-01,0.2709,309
312 Mackay,2013-08-01,0.2024,312
315 Queensland - Outback,2013-08-01,0.1729,315
316 Sunshine Coast,2013-08-01,0.2588,316
317 Toowoomba,2013-08-01,0.2554,317
318 Townsville,2013-08-01,0.2361,318
319 Wide Bay,2013-08-01,0.2248,319
401 Adelaide - Central and Hills,2013-08-01,0.2104,401
402 Adelaide - North,2013-08-01,0.2584,402
403 Adelaide - South,2013-08-01,0.2722,403
404 Adelaide - West,2013-08-01,0.2767,404
405 Barossa - Yorke - Mid North,2013-08-01,0.1922,405
406 South Australia - Outback,2013-08-01,0.1803,406
407 South Australia - South East,2013-08-01,0.217,407
502 Mandurah,2013-08-01,0.1818,502
503 Perth - Inner,2013-08-01,0.2093,503
504 Perth - North East,2013-08-01,0.2558,504
505 Perth - North West,2013-08-01,0.2374,505
506 Perth - South East,2013-08-01,0.2548,506
507 Perth - South West,2013-08-01,0.2355,507
501 Bunbury,2013-08-01,0.19,501
508 Western Australia - Outback,2013-08-01,0.1495,508
509 Western Australia - Wheat Belt,2013-08-01,0.1814,509
601 Hobart,2013-08-01,0.254,601
602 Launceston and North East,2013-08-01,0.2341,602
603 Tasmania - South East,2013-08-01,0.2074,603
604 Tasmania - West and North West,2013-08-01,0.1981,604
701 Darwin,2013-08-01,0.2652,701
702 Northern Territory - Outback,2013-08-01,0.1953,702
801 Australian Capital Territory,2013-08-01,0.2503,801
102 Central Coast,2014-08-01,0.2147,102
115 Sydney - Baulkham Hills and Hawkesbury,2014-08-01,0.2626,115
116 Sydney - Blacktown,2014-08-01,0.2872,116
117 Sydney - City and Inner South,2014-08-01,0.2079,117
118 Sydney - Eastern Suburbs,2014-08-01,0.2091,118
119 Sydney - Inner South West,2014-08-01,0.2622,119
120 Sydney - Inner West,2014-08-01,0.2272,120
121 Sydney - North Sydney and Hornsby,2014-08-01,0.2281,121
122 Sydney - Northern Beaches,2014-08-01,0.2248,122
123 Sydney - Outer South West,2014-08-01,0.2635,123
124 Sydney - Outer West and Blue Mountains,2014-08-01,0.2651,124
125 Sydney - Parramatta,2014-08-01,0.2424,125
126 Sydney - Ryde,2014-08-01,0.2556,126
127 Sydney - South West,2014-08-01,0.2685,127
128 Sydney - Sutherland,2014-08-01,0.2556,128
101 Capital Region,2014-08-01,0.2528,101
103 New South Wales - Central West,2014-08-01,0.1676,103
104 Coffs Harbour - Grafton,2014-08-01,0.2171,104
105 Far West and Orana,2014-08-01,0.205,105
106 Hunter Valley exc Newcastle,2014-08-01,0.2246,106
107 Illawarra,2014-08-01,0.2232,107
108 Mid North Coast,2014-08-01,0.2481,108
109 Murray,2014-08-01,0.212,109
110 New England and North West,2014-08-01,0.2191,110
111 Newcastle and Lake Macquarie,2014-08-01,0.2429,111
112 Richmond - Tweed,2014-08-01,0.2212,112
113 Riverina,2014-08-01,0.1671,113
114 Southern Highlands and Shoalhaven,2014-08-01,0.2453,114
206 Melbourne - Inner,2014-08-01,0.2044,206
207 Melbourne - Inner East,2014-08-01,0.2479,207
208 Melbourne - Inner South,2014-08-01,0.2601,208
209 Melbourne - North East,2014-08-01,0.2627,209
210 Melbourne - North West,2014-08-01,0.2799,210
211 Melbourne - Outer East,2014-08-01,0.2637,211
212 Melbourne - South East,2014-08-01,0.2483,212
213 Melbourne - West,2014-08-01,0.256,213
214 Mornington Peninsula,2014-08-01,0.2159,214
201 Ballarat,2014-08-01,0.2055,201
202 Bendigo,2014-08-01,0.1987,202
203 Geelong,2014-08-01,0.2029,203
204 Hume,2014-08-01,0.2067,204
205 Latrobe - Gippsland,2014-08-01,0.1828,205
215 Victoria - North West,2014-08-01,0.2525,215
216 Shepparton,2014-08-01,0.2107,216
217 Warrnambool and South West,2014-08-01,0.1689,217
301 Brisbane - East,2014-08-01,0.257,301
302 Brisbane - North,2014-08-01,0.3048,302
303 Brisbane - South,2014-08-01,0.2406,303
304 Brisbane - West,2014-08-01,0.2181,304
305 Brisbane Inner City,2014-08-01,0.2369,305
310 Ipswich,2014-08-01,0.2516,310
311 Logan - Beaudesert,2014-08-01,0.257,311
313 Moreton Bay - North,2014-08-01,0.2468,313
314 Moreton Bay - South,2014-08-01,0.3197,314
306 Cairns,2014-08-01,0.2501,306
307 Darling Downs - Maranoa,2014-08-01,0.2026,307
308 Fitzroy,2014-08-01,0.2134,308
309 Gold Coast,2014-08-01,0.267,309
312 Mackay,2014-08-01,0.2025,312
315 Queensland - Outback,2014-08-01,0.1244,315
316 Sunshine Coast,2014-08-01,0.2459,316
317 Toowoomba,2014-08-01,0.2452,317
318 Townsville,2014-08-01,0.2532,318
319 Wide Bay,2014-08-01,0.2338,319
401 Adelaide - Central and Hills,2014-08-01,0.2153,401
402 Adelaide - North,2014-08-01,0.2618,402
403 Adelaide - South,2014-08-01,0.2433,403
404 Adelaide - West,2014-08-01,0.2531,404
405 Barossa - Yorke - Mid North,2014-08-01,0.1598,405
406 South Australia - Outback,2014-08-01,0.17,406
407 South Australia - South East,2014-08-01,0.1991,407
502 Mandurah,2014-08-01,0.1532,502
503 Perth - Inner,2014-08-01,0.2084,503
504 Perth - North East,2014-08-01,0.2464,504
505 Perth - North West,2014-08-01,0.2375,505
506 Perth - South East,2014-08-01,0.2611,506
507 Perth - South West,2014-08-01,0.2238,507
501 Bunbury,2014-08-01,0.2087,501
508 Western Australia - Outback,2014-08-01,0.2013,508
509 Western Australia - Wheat Belt,2014-08-01,0.1656,509
601 Hobart,2014-08-01,0.2709,601
602 Launceston and North East,2014-08-01,0.2271,602
603 Tasmania - South East,2014-08-01,0.1955,603
604 Tasmania - West and North West,2014-08-01,0.2326,604
701 Darwin,2014-08-01,0.2334,701
702 Northern Territory - Outback,2014-08-01,0.1988,702
801 Australian Capital Territory,2014-08-01,0.2658,801
102 Central Coast,2015-08-01,0.2409,102
115 Sydney - Baulkham Hills and Hawkesbury,2015-08-01,0.2576,115
116 Sydney - Blacktown,2015-08-01,0.27,116
117 Sydney - City and Inner South,2015-08-01,0.2198,117
118 Sydney - Eastern Suburbs,2015-08-01,0.2022,118
119 Sydney - Inner South West,2015-08-01,0.2745,119
120 Sydney - Inner West,2015-08-01,0.2216,120
121 Sydney - North Sydney and Hornsby,2015-08-01,0.2028,121
122 Sydney - Northern Beaches,2015-08-01,0.2451,122
123 Sydney - Outer South West,2015-08-01,0.2822,123
124 Sydney - Outer West and Blue Mountains,2015-08-01,0.2362,124
125 Sydney - Parramatta,2015-08-01,0.2617,125
126 Sydney - Ryde,2015-08-01,0.2405,126
127 Sydney - South West,2015-08-01,0.2255,127
128 Sydney - Sutherland,2015-08-01,0.2667,128
101 Capital Region,2015-08-01,0.1686,101
103 New South Wales - Central West,2015-08-01,0.1947,103
104 Coffs Harbour - Grafton,2015-08-01,0.2811,104
105 Far West and Orana,2015-08-01,0.2288,105
106 Hunter Valley exc Newcastle,2015-08-01,0.1876,106
107 Illawarra,2015-08-01,0.2026,107
108 Mid North Coast,2015-08-01,0.2378,108
109 Murray,2015-08-01,0.1759,109
110 New England and North West,2015-08-01,0.2053,110
111 Newcastle and Lake Macquarie,2015-08-01,0.2222,111
112 Richmond - Tweed,2015-08-01,0.2144,112
113 Riverina,2015-08-01,0.1961,113
114 Southern Highlands and Shoalhaven,2015-08-01,0.2486,114
206 Melbourne - Inner,2015-08-01,0.205,206
207 Melbourne - Inner East,2015-08-01,0.2364,207
208 Melbourne - Inner South,2015-08-01,0.2308,208
209 Melbourne - North East,2015-08-01,0.2571,209
210 Melbourne - North West,2015-08-01,0.2752,210
211 Melbourne - Outer East,2015-08-01,0.2603,211
212 Melbourne - South East,2015-08-01,0.2352,212
213 Melbourne - West,2015-08-01,0.2601,213
214 Mornington Peninsula,2015-08-01,0.2928,214
201 Ballarat,2015-08-01,0.2139,201
202 Bendigo,2015-08-01,0.2266,202
203 Geelong,2015-08-01,0.2442,203
204 Hume,2015-08-01,0.1988,204
205 Latrobe - Gippsland,2015-08-01,0.2137,205
215 Victoria - North West,2015-08-01,0.1745,215
216 Shepparton,2015-08-01,0.1991,216
217 Warrnambool and South West,2015-08-01,0.1531,217
301 Brisbane - East,2015-08-01,0.2677,301
302 Brisbane - North,2015-08-01,0.2313,302
303 Brisbane - South,2015-08-01,0.2675,303
304 Brisbane - West,2015-08-01,0.2364,304
305 Brisbane Inner City,2015-08-01,0.2271,305
310 Ipswich,2015-08-01,0.2403,310
311 Logan - Beaudesert,2015-08-01,0.2489,311
313 Moreton Bay - North,2015-08-01,0.298,313
314 Moreton Bay - South,2015-08-01,0.2815,314
306 Cairns,2015-08-01,0.1932,306
307 Darling Downs - Maranoa,2015-08-01,0.2203,307
308 Fitzroy,2015-08-01,0.1841,308
309 Gold Coast,2015-08-01,0.2572,309
312 Mackay,2015-08-01,0.1737,312
315 Queensland - Outback,2015-08-01,0.245,315
316 Sunshine Coast,2015-08-01,0.2456,316
317 Toowoomba,2015-08-01,0.1729,317
318 Townsville,2015-08-01,0.2331,318
319 Wide Bay,2015-08-01,0.2337,319
401 Adelaide - Central and Hills,2015-08-01,0.2133,401
402 Adelaide - North,2015-08-01,0.2457,402
403 Adelaide - South,2015-08-01,0.2512,403
404 Adelaide - West,2015-08-01,0.2543,404
405 Barossa - Yorke - Mid North,2015-08-01,0.2191,405
406 South Australia - Outback,2015-08-01,0.1221,406
407 South Australia - South East,2015-08-01,0.2318,407
502 Mandurah,2015-08-01,0.1836,502
503 Perth - Inner,2015-08-01,0.1857,503
504 Perth - North East,2015-08-01,0.2319,504
505 Perth - North West,2015-08-01,0.232,505
506 Perth - South East,2015-08-01,0.2413,506
507 Perth - South West,2015-08-01,0.2142,507
501 Bunbury,2015-08-01,0.1797,501
508 Western Australia - Outback,2015-08-01,0.1846,508
509 Western Australia - Wheat Belt,2015-08-01,0.1591,509
601 Hobart,2015-08-01,0.2509,601
602 Launceston and North East,2015-08-01,0.2276,602
603 Tasmania - South East,2015-08-01,0.2148,603
604 Tasmania - West and North West,2015-08-01,0.2365,604
701 Darwin,2015-08-01,0.2344,701
702 Northern Territory - Outback,2015-08-01,0.1976,702
801 Australian Capital Territory,2015-08-01,0.2601,801
102 Central Coast,2016-08-01,0.2416,102
115 Sydney - Baulkham Hills and Hawkesbury,2016-08-01,0.2541,115
116 Sydney - Blacktown,2016-08-01,0.2795,116
117 Sydney - City and Inner South,2016-08-01,0.2042,117
118 Sydney - Eastern Suburbs,2016-08-01,0.2102,118
119 Sydney - Inner South West,2016-08-01,0.263,119
120 Sydney - Inner West,2016-08-01,0.2332,120
121 Sydney - North Sydney and Hornsby,2016-08-01,0.1896,121
122 Sydney - Northern Beaches,2016-08-01,0.227,122
123 Sydney - Outer South West,2016-08-01,0.2972,123
124 Sydney - Outer West and Blue Mountains,2016-08-01,0.2592,124
125 Sydney - Parramatta,2016-08-01,0.2526,125
126 Sydney - Ryde,2016-08-01,0.2542,126
127 Sydney - South West,2016-08-01,0.2739,127
128 Sydney - Sutherland,2016-08-01,0.2597,128
101 Capital Region,2016-08-01,0.2089,101
103 New South Wales - Central West,2016-08-01,0.2358,103
104 Coffs Harbour - Grafton,2016-08-01,0.2588,104
105 Far West and Orana,2016-08-01,0.1998,105
106 Hunter Valley exc Newcastle,2016-08-01,0.214,106
107 Illawarra,2016-08-01,0.2526,107
108 Mid North Coast,2016-08-01,0.241,108
109 Murray,2016-08-01,0.2572,109
110 New England and North West,2016-08-01,0.1558,110
111 Newcastle and Lake Macquarie,2016-08-01,0.244,111
112 Richmond - Tweed,2016-08-01,0.2417,112
113 Riverina,2016-08-01,0.1808,113
114 Southern Highlands and Shoalhaven,2016-08-01,0.2248,114
206 Melbourne - Inner,2016-08-01,0.2082,206
207 Melbourne - Inner East,2016-08-01,0.2249,207
208 Melbourne - Inner South,2016-08-01,0.2442,208
209 Melbourne - North East,2016-08-01,0.2448,209
210 Melbourne - North West,2016-08-01,0.2645,210
211 Melbourne - Outer East,2016-08-01,0.2465,211
212 Melbourne - South East,2016-08-01,0.2359,212
213 Melbourne - West,2016-08-01,0.2465,213
214 Mornington Peninsula,2016-08-01,0.2457,214
201 Ballarat,2016-08-01,0.2183,201
202 Bendigo,2016-08-01,0.1953,202
203 Geelong,2016-08-01,0.2266,203
204 Hume,2016-08-01,0.2151,204
205 Latrobe - Gippsland,2016-08-01,0.2167,205
215 Victoria - North West,2016-08-01,0.1655,215
216 Shepparton,2016-08-01,0.2098,216
217 Warrnambool and South West,2016-08-01,0.1965,217
301 Brisbane - East,2016-08-01,0.2371,301
302 Brisbane - North,2016-08-01,0.2353,302
303 Brisbane - South,2016-08-01,0.2413,303
304 Brisbane - West,2016-08-01,0.2519,304
305 Brisbane Inner City,2016-08-01,0.2331,305
310 Ipswich,2016-08-01,0.2395,310
311 Logan - Beaudesert,2016-08-01,0.2635,311
313 Moreton Bay - North,2016-08-01,0.2686,313
314 Moreton Bay - South,2016-08-01,0.2836,314
306 Cairns,2016-08-01,0.2115,306
307 Darling Downs - Maranoa,2016-08-01,0.2094,307
308 Fitzroy,2016-08-01,0.1822,308
309 Gold Coast,2016-08-01,0.2621,309
312 Mackay,2016-08-01,0.189,312
315 Queensland - Outback,2016-08-01,0.1935,315
316 Sunshine Coast,2016-08-01,0.2282,316
317 Toowoomba,2016-08-01,0.2585,317
318 Townsville,2016-08-01,0.234,318
319 Wide Bay,2016-08-01,0.2052,319
401 Adelaide - Central and Hills,2016-08-01,0.2213,401
402 Adelaide - North,2016-08-01,0.2523,402
403 Adelaide - South,2016-08-01,0.2596,403
404 Adelaide - West,2016-08-01,0.2351,404
405 Barossa - Yorke - Mid North,2016-08-01,0.1957,405
406 South Australia - Outback,2016-08-01,0.1869,406
407 South Australia - South East,2016-08-01,0.2493,407
502 Mandurah,2016-08-01,0.2006,502
503 Perth - Inner,2016-08-01,0.1916,503
504 Perth - North East,2016-08-01,0.2349,504
505 Perth - North West,2016-08-01,0.2262,505
506 Perth - South East,2016-08-01,0.2432,506
507 Perth - South West,2016-08-01,0.2437,507
501 Bunbury,2016-08-01,0.2262,501
508 Western Australia - Outback,2016-08-01,0.1857,508
509 Western Australia - Wheat Belt,2016-08-01,0.1413,509
601 Hobart,2016-08-01,0.2375,601
602 Launceston and North East,2016-08-01,0.237,602
603 Tasmania - South East,2016-08-01,0.1654,603
604 Tasmania - West and North West,2016-08-01,0.2016,604
701 Darwin,2016-08-01,0.2456,701
702 Northern Territory - Outback,2016-08-01,0.1854,702
801 Australian Capital Territory,2016-08-01,0.2621,801
102 Central Coast,2000-02-01,0.2947,102
115 Sydney - Baulkham Hills and Hawkesbury,2000-02-01,0.2942,115
116 Sydney - Blacktown,2000-02-01,0.3174,116
117 Sydney - City and Inner South,2000-02-01,0.2509,117
118 Sydney - Eastern Suburbs,2000-02-01,0.2748,118
119 Sydney - Inner South West,2000-02-01,0.2972,119
120 Sydney - Inner West,2000-02-01,0.2938,120
121 Sydney - North Sydney and Hornsby,2000-02-01,0.2641,121
122 Sydney - Northern Beaches,2000-02-01,0.3149,122
123 Sydney - Outer South West,2000-02-01,0.2848,123
124 Sydney - Outer West and Blue Mountains,2000-02-01,0.3186,124
125 Sydney - Parramatta,2000-02-01,0.2632,125
126 Sydney - Ryde,2000-02-01,0.2989,126
127 Sydney - South West,2000-02-01,0.2526,127
128 Sydney - Sutherland,2000-02-01,0.3302,128
101 Capital Region,2000-02-01,0.2313,101
103 New South Wales - Central West,2000-02-01,0.2316,103
104 Coffs Harbour - Grafton,2000-02-01,0.2505,104
105 Far West and Orana,2000-02-01,0.1623,105
106 Hunter Valley exc Newcastle,2000-02-01,0.2258,106
107 Illawarra,2000-02-01,0.237,107
108 Mid North Coast,2000-02-01,0.208,108
109 Murray,2000-02-01,0.2112,109
110 New England and North West,2000-02-01,0.2,110
111 Newcastle and Lake Macquarie,2000-02-01,0.3089,111
112 Richmond - Tweed,2000-02-01,0.2419,112
113 Riverina,2000-02-01,0.2526,113
114 Southern Highlands and Shoalhaven,2000-02-01,0.2184,114
206 Melbourne - Inner,2000-02-01,0.2559,206
207 Melbourne - Inner East,2000-02-01,0.2677,207
208 Melbourne - Inner South,2000-02-01,0.2786,208
209 Melbourne - North East,2000-02-01,0.274,209
210 Melbourne - North West,2000-02-01,0.2864,210
211 Melbourne - Outer East,2000-02-01,0.2866,211
212 Melbourne - South East,2000-02-01,0.2748,212
213 Melbourne - West,2000-02-01,0.2985,213
214 Mornington Peninsula,2000-02-01,0.2756,214
201 Ballarat,2000-02-01,0.2209,201
202 Bendigo,2000-02-01,0.2072,202
203 Geelong,2000-02-01,0.2173,203
204 Hume,2000-02-01,0.2582,204
205 Latrobe - Gippsland,2000-02-01,0.2333,205
215 Victoria - North West,2000-02-01,0.1882,215
216 Shepparton,2000-02-01,0.2149,216
217 Warrnambool and South West,2000-02-01,0.1885,217
301 Brisbane - East,2000-02-01,0.3245,301
302 Brisbane - North,2000-02-01,0.3076,302
303 Brisbane - South,2000-02-01,0.3188,303
304 Brisbane - West,2000-02-01,0.2823,304
305 Brisbane Inner City,2000-02-01,0.2809,305
310 Ipswich,2000-02-01,0.2772,310
311 Logan - Beaudesert,2000-02-01,0.2906,311
313 Moreton Bay - North,2000-02-01,0.324,313
314 Moreton Bay - South,2000-02-01,0.3009,314
306 Cairns,2000-02-01,0.2543,306
307 Darling Downs - Maranoa,2000-02-01,0.2227,307
308 Fitzroy,2000-02-01,0.2133,308
309 Gold Coast,2000-02-01,0.3247,309
312 Mackay,2000-02-01,0.248,312
315 Queensland - Outback,2000-02-01,0.1542,315
316 Sunshine Coast,2000-02-01,0.2664,316
317 Toowoomba,2000-02-01,0.2598,317
318 Townsville,2000-02-01,0.2424,318
319 Wide Bay,2000-02-01,0.2071,319
401 Adelaide - Central and Hills,2000-02-01,0.2591,401
402 Adelaide - North,2000-02-01,0.2846,402
403 Adelaide - South,2000-02-01,0.2784,403
404 Adelaide - West,2000-02-01,0.2696,404
405 Barossa - Yorke - Mid North,2000-02-01,0.1698,405
406 South Australia - Outback,2000-02-01,0.1972,406
407 South Australia - South East,2000-02-01,0.1769,407
502 Mandurah,2000-02-01,0.2592,502
503 Perth - Inner,2000-02-01,0.2512,503
504 Perth - North East,2000-02-01,0.283,504
505 Perth - North West,2000-02-01,0.3219,505
506 Perth - South East,2000-02-01,0.2924,506
507 Perth - South West,2000-02-01,0.2808,507
