Labour market region (SA4): ASGS (2011),date,percent total workers,sa4_code_2011
205 Latrobe - Gippsland,2000-08-01,0.2026,205
215 Victoria - North West,2000-08-01,0.1882,215
216 Shepparton,2000-08-01,0.2109,216
217 Warrnambool and South West,2000-08-01,0.1894,217
301 Brisbane - East,2000-08-01,0.3351,301
302 Brisbane - North,2000-08-01,0.3245,302
303 Brisbane - South,2000-08-01,0.3197,303
304 Brisbane - West,2000-08-01,0.2853,304
305 Brisbane Inner City,2000-08-01,0.2815,305
310 Ipswich,2000-08-01,0.2688,310
311 Logan - Beaudesert,2000-08-01,0.2818,311
313 Moreton Bay - North,2000-08-01,0.3615,313
314 Moreton Bay - South,2000-08-01,0.3412,314
306 Cairns,2000-08-01,0.2441,306
307 Darling Downs - Maranoa,2000-08-01,0.2115,307
308 Fitzroy,2000-08-01,0.2412,308
309 Gold Coast,2000-08-01,0.3124,309
312 Mackay,2000-08-01,0.245,312
315 Queensland - Outback,2000-08-01,0.1734,315
316 Sunshine Coast,2000-08-01,0.266,316
317 Toowoomba,2000-08-01,0.2626,317
318 Townsville,2000-08-01,0.2621,318
319 Wide Bay,2000-08-01,0.1991,319
401 Adelaide - Central and Hills,2000-08-01,0.2677,401
402 Adelaide - North,2000-08-01,0.2841,402
403 Adelaide - South,2000-08-01,0.2594,403
404 Adelaide - West,2000-08-01,0.2717,404
405 Barossa - Yorke - Mid North,2000-08-01,0.1762,405
406 South Australia - Outback,2000-08-01,0.2021,406
407 South Australia - South East,2000-08-01,0.1742,407
502 Mandurah,2000-08-01,0.2398,502
503 Perth - Inner,2000-08-01,0.239,503
504 Perth - North East,2000-08-01,0.2877,504
505 Perth - North West,2000-08-01,0.3318,505
506 Perth - South East,2000-08-01,0.2957,506
507 Perth - South West,2000-08-01,0.2738,507
501 Bunbury,2000-08-01,0.2313,501
508 Western Australia - Outback,2000-08-01,0.216,508
509 Western Australia - Wheat Belt,2000-08-01,0.1742,509
601 Hobart,2000-08-01,0.2918,601
602 Launceston and North East,2000-08-01,0.2216,602
603 Tasmania - South East,2000-08-01,0.1952,603
604 Tasmania - West and North West,2000-08-01,0.2275,604
701 Darwin,2000-08-01,0.2886,701
702 Northern Territory - Outback,2000-08-01,0.1889,702
801 Australian Capital Territory,2000-08-01,0.2988,801
102 Central Coast,2001-08-01,0.2947,102
115 Sydney - Baulkham Hills and Hawkesbury,2001-08-01,0.2954,115
116 Sydney - Blacktown,2001-08-01,0.322,116
117 Sydney - City and Inner South,2001-08-01,0.2708,117
118 Sydney - Eastern Suburbs,2001-08-01,0.2612,118
119 Sydney - Inner South West,2001-08-01,0.3013,119
120 Sydney - Inner West,2001-08-01,0.2848,120
121 Sydney - North Sydney and Hornsby,2001-08-01,0.2673,121
122 Sydney - Northern Beaches,2001-08-01,0.2926,122
123 Sydney - Outer South West,2001-08-01,0.3121,123
124 Sydney - Outer West and Blue Mountains,2001-08-01,0.2732,124
125 Sydney - Parramatta,2001-08-01,0.3028,125
126 Sydney - Ryde,2001-08-01,0.2884,126
127 Sydney - South West,2001-08-01,0.3058,127
128 Sydney - Sutherland,2001-08-01,0.3284,128
101 Capital Region,2001-08-01,0.2479,101
103 New South Wales - Central West,2001-08-01,0.239,103
104 Coffs Harbour - Grafton,2001-08-01,0.2884,104
105 Far West and Orana,2001-08-01,0.1446,105
106 Hunter Valley exc Newcastle,2001-08-01,0.2712,106
107 Illawarra,2001-08-01,0.2627,107
108 Mid North Coast,2001-08-01,0.2873,108
109 Murray,2001-08-01,0.2491,109
110 New England and North West,2001-08-01,0.2067,110
111 Newcastle and Lake Macquarie,2001-08-01,0.2825,111
112 Richmond - Tweed,2001-08-01,0.2462,112
113 Riverina,2001-08-01,0.2301,113
114 Southern Highlands and Shoalhaven,2001-08-01,0.2785,114
206 Melbourne - Inner,2001-08-01,0.2308,206
207 Melbourne - Inner East,2001-08-01,0.2455,207
208 Melbourne - Inner South,2001-08-01,0.29,208
209 Melbourne - North East,2001-08-01,0.2846,209
210 Melbourne - North West,2001-08-01,0.3041,210
211 Melbourne - Outer East,2001-08-01,0.2983,211
212 Melbourne - South East,2001-08-01,0.2791,212
213 Melbourne - West,2001-08-01,0.2692,213
214 Mornington Peninsula,2001-08-01,0.2537,214
201 Ballarat,2001-08-01,0.2254,201
202 Bendigo,2001-08-01,0.2733,202
203 Geelong,2001-08-01,0.2562,203
204 Hume,2001-08-01,0.2304,204
205 Latrobe - Gippsland,2001-08-01,0.2228,205
215 Victoria - North West,2001-08-01,0.2006,215
216 Shepparton,2001-08-01,0.1959,216
217 Warrnambool and South West,2001-08-01,0.167,217
301 Brisbane - East,2001-08-01,0.3326,301
302 Brisbane - North,2001-08-01,0.3426,302
303 Brisbane - South,2001-08-01,0.3248,303
304 Brisbane - West,2001-08-01,0.2918,304
305 Brisbane Inner City,2001-08-01,0.2686,305
310 Ipswich,2001-08-01,0.251,310
311 Logan - Beaudesert,2001-08-01,0.2759,311
313 Moreton Bay - North,2001-08-01,0.2973,313
314 Moreton Bay - South,2001-08-01,0.3157,314
306 Cairns,2001-08-01,0.2405,306
307 Darling Downs - Maranoa,2001-08-01,0.1813,307
308 Fitzroy,2001-08-01,0.2176,308
309 Gold Coast,2001-08-01,0.3294,309
312 Mackay,2001-08-01,0.2305,312
315 Queensland - Outback,2001-08-01,0.1721,315
316 Sunshine Coast,2001-08-01,0.2645,316
317 Toowoomba,2001-08-01,0.276,317
318 Townsville,2001-08-01,0.2428,318
319 Wide Bay,2001-08-01,0.2121,319
401 Adelaide - Central and Hills,2001-08-01,0.2608,401
402 Adelaide - North,2001-08-01,0.2806,402
403 Adelaide - South,2001-08-01,0.2765,403
404 Adelaide - West,2001-08-01,0.2997,404
405 Barossa - Yorke - Mid North,2001-08-01,0.1651,405
406 South Australia - Outback,2001-08-01,0.1873,406
407 South Australia - South East,2001-08-01,0.1976,407
502 Mandurah,2001-08-01,0.1932,502
503 Perth - Inner,2001-08-01,0.2358,503
504 Perth - North East,2001-08-01,0.2954,504
505 Perth - North West,2001-08-01,0.3054,505
506 Perth - South East,2001-08-01,0.3073,506
507 Perth - South West,2001-08-01,0.2676,507
501 Bunbury,2001-08-01,0.2426,501
508 Western Australia - Outback,2001-08-01,0.2143,508
509 Western Australia - Wheat Belt,2001-08-01,0.177,509
601 Hobart,2001-08-01,0.2947,601
602 Launceston and North East,2001-08-01,0.2616,602
603 Tasmania - South East,2001-08-01,0.2234,603
604 Tasmania - West and North West,2001-08-01,0.2382,604
701 Darwin,2001-08-01,0.2912,701
702 Northern Territory - Outback,2001-08-01,0.1569,702
801 Australian Capital Territory,2001-08-01,0.2954,801
102 Central Coast,2002-08-01,0.2682,102
115 Sydney - Baulkham Hills and Hawkesbury,2002-08-01,0.2862,115
116 Sydney - Blacktown,2002-08-01,0.33,116
117 Sydney - City and Inner South,2002-08-01,0.2663,117
118 Sydney - Eastern Suburbs,2002-08-01,0.248,118
119 Sydney - Inner South West,2002-08-01,0.2862,119
120 Sydney - Inner West,2002-08-01,0.2432,120
121 Sydney - North Sydney and Hornsby,2002-08-01,0.2546,121
122 Sydney - Northern Beaches,2002-08-01,0.2896,122
123 Sydney - Outer South West,2002-08-01,0.293,123
124 Sydney - Outer West and Blue Mountains,2002-08-01,0.309,124
125 Sydney - Parramatta,2002-08-01,0.3064,125
126 Sydney - Ryde,2002-08-01,0.3105,126
127 Sydney - South West,2002-08-01,0.2665,127
128 Sydney - Sutherland,2002-08-01,0.3007,128
101 Capital Region,2002-08-01,0.2235,101
103 New South Wales - Central West,2002-08-01,0.2274,103
104 Coffs Harbour - Grafton,2002-08-01,0.2478,104
105 Far West and Orana,2002-08-01,0.161,105
106 Hunter Valley exc Newcastle,2002-08-01,0.2323,106
107 Illawarra,2002-08-01,0.2559,107
108 Mid North Coast,2002-08-01,0.2413,108
109 Murray,2002-08-01,0.2816,109
110 New England and North West,2002-08-01,0.1827,110
111 Newcastle and Lake Macquarie,2002-08-01,0.277,111
112 Richmond - Tweed,2002-08-01,0.2752,112
113 Riverina,2002-08-01,0.2184,113
114 Southern Highlands and Shoalhaven,2002-08-01,0.2402,114
206 Melbourne - Inner,2002-08-01,0.2444,206
207 Melbourne - Inner East,2002-08-01,0.2666,207
208 Melbourne - Inner South,2002-08-01,0.2671,208
209 Melbourne - North East,2002-08-01,0.262,209
210 Melbourne - North West,2002-08-01,0.2949,210
211 Melbourne - Outer East,2002-08-01,0.2984,211
212 Melbourne - South East,2002-08-01,0.2747,212
213 Melbourne - West,2002-08-01,0.2856,213
214 Mornington Peninsula,2002-08-01,0.2533,214
201 Ballarat,2002-08-01,0.2181,201
202 Bendigo,2002-08-01,0.25,202
203 Geelong,2002-08-01,0.244,203
204 Hume,2002-08-01,0.1926,204
205 Latrobe - Gippsland,2002-08-01,0.2202,205
215 Victoria - North West,2002-08-01,0.2355,215
216 Shepparton,2002-08-01,0.2299,216
217 Warrnambool and South West,2002-08-01,0.1736,217
301 Brisbane - East,2002-08-01,0.2985,301
302 Brisbane - North,2002-08-01,0.3273,302
303 Brisbane - South,2002-08-01,0.3233,303
304 Brisbane - West,2002-08-01,0.3122,304
305 Brisbane Inner City,2002-08-01,0.2442,305
310 Ipswich,2002-08-01,0.2262,310
311 Logan - Beaudesert,2002-08-01,0.2733,311
313 Moreton Bay - North,2002-08-01,0.2755,313
314 Moreton Bay - South,2002-08-01,0.321,314
306 Cairns,2002-08-01,0.2253,306
307 Darling Downs - Maranoa,2002-08-01,0.1879,307
308 Fitzroy,2002-08-01,0.202,308
309 Gold Coast,2002-08-01,0.3007,309
312 Mackay,2002-08-01,0.2178,312
315 Queensland - Outback,2002-08-01,0.1996,315
316 Sunshine Coast,2002-08-01,0.2674,316
317 Toowoomba,2002-08-01,0.2763,317
318 Townsville,2002-08-01,0.2543,318
319 Wide Bay,2002-08-01,0.2381,319
401 Adelaide - Central and Hills,2002-08-01,0.2594,401
402 Adelaide - North,2002-08-01,0.2703,402
403 Adelaide - South,2002-08-01,0.2631,403
404 Adelaide - West,2002-08-01,0.2792,404
405 Barossa - Yorke - Mid North,2002-08-01,0.1794,405
406 South Australia - Outback,2002-08-01,0.1803,406
407 South Australia - South East,2002-08-01,0.1749,407
502 Mandurah,2002-08-01,0.2489,502
503 Perth - Inner,2002-08-01,0.2336,503
504 Perth - North East,2002-08-01,0.2945,504
505 Perth - North West,2002-08-01,0.3008,505
506 Perth - South East,2002-08-01,0.302,506
507 Perth - South West,2002-08-01,0.2754,507
501 Bunbury,2002-08-01,0.2505,501
508 Western Australia - Outback,2002-08-01,0.2282,508
509 Western Australia - Wheat Belt,2002-08-01,0.1794,509
601 Hobart,2002-08-01,0.3048,601
602 Launceston and North East,2002-08-01,0.2641,602
603 Tasmania - South East,2002-08-01,0.194,603
604 Tasmania - West and North West,2002-08-01,0.2323,604
701 Darwin,2002-08-01,0.279,701
702 Northern Territory - Outback,2002-08-01,0.1579,702
801 Australian Capital Territory,2002-08-01,0.2984,801
102 Central Coast,2003-08-01,0.3069,102
115 Sydney - Baulkham Hills and Hawkesbury,2003-08-01,0.2844,115
116 Sydney - Blacktown,2003-08-01,0.331,116
117 Sydney - City and Inner South,2003-08-01,0.2784,117
118 Sydney - Eastern Suburbs,2003-08-01,0.2311,118
119 Sydney - Inner South West,2003-08-01,0.3113,119
120 Sydney - Inner West,2003-08-01,0.2951,120
121 Sydney - North Sydney and Hornsby,2003-08-01,0.2708,121
122 Sydney - Northern Beaches,2003-08-01,0.3005,122
123 Sydney - Outer South West,2003-08-01,0.2952,123
124 Sydney - Outer West and Blue Mountains,2003-08-01,0.2916,124
125 Sydney - Parramatta,2003-08-01,0.3047,125
126 Sydney - Ryde,2003-08-01,0.2461,126
127 Sydney - South West,2003-08-01,0.2919,127
128 Sydney - Sutherland,2003-08-01,0.307,128
101 Capital Region,2003-08-01,0.2262,101
103 New South Wales - Central West,2003-08-01,0.2233,103
104 Coffs Harbour - Grafton,2003-08-01,0.3077,104
105 Far West and Orana,2003-08-01,0.1969,105
106 Hunter Valley exc Newcastle,2003-08-01,0.2502,106
107 Illawarra,2003-08-01,0.2375,107
108 Mid North Coast,2003-08-01,0.2458,108
109 Murray,2003-08-01,0.2664,109
110 New England and North West,2003-08-01,0.2532,110
111 Newcastle and Lake Macquarie,2003-08-01,0.2832,111
112 Richmond - Tweed,2003-08-01,0.259,112
113 Riverina,2003-08-01,0.2386,113
114 Southern Highlands and Shoalhaven,2003-08-01,0.2399,114
206 Melbourne - Inner,2003-08-01,0.2198,206
207 Melbourne - Inner East,2003-08-01,0.2731,207
208 Melbourne - Inner South,2003-08-01,0.2604,208
209 Melbourne - North East,2003-08-01,0.2926,209
210 Melbourne - North West,2003-08-01,0.3149,210
211 Melbourne - Outer East,2003-08-01,0.3068,211
212 Melbourne - South East,2003-08-01,0.266,212
213 Melbourne - West,2003-08-01,0.2746,213
214 Mornington Peninsula,2003-08-01,0.2572,214
201 Ballarat,2003-08-01,0.2439,201
202 Bendigo,2003-08-01,0.2611,202
203 Geelong,2003-08-01,0.2328,203
204 Hume,2003-08-01,0.2112,204
205 Latrobe - Gippsland,2003-08-01,0.2513,205
