Labour market region (SA4): ASGS (2011),date,percent parttime,sa4_code_2011
102 Central Coast,1999-08-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,1999-08-01,0.277,115
116 Sydney - Blacktown,1999-08-01,0.3037,116
117 Sydney - City and Inner South,1999-08-01,0.2994,117
118 Sydney - Eastern Suburbs,1999-08-01,0.2405,118
119 Sydney - Inner South West,1999-08-01,0.2802,119
120 Sydney - Inner West,1999-08-01,0.2991,120
121 Sydney - North Sydney and Hornsby,1999-08-01,0.2837,121
122 Sydney - Northern Beaches,1999-08-01,0.2685,122
123 Sydney - Outer South West,1999-08-01,0.3015,123
124 Sydney - Outer West and Blue Mountains,1999-08-01,0.2794,124
125 Sydney - Parramatta,1999-08-01,0.3168,125
126 Sydney - Ryde,1999-08-01,0.2855,126
127 Sydney - South West,1999-08-01,0.3158,127
128 Sydney - Sutherland,1999-08-01,0.2669,128
101 Capital Region,1999-08-01,0.3303,101
103 New South Wales - Central West,1999-08-01,0.2212,103
104 Coffs Harbour - Grafton,1999-08-01,0.2108,104
105 Far West and Orana,1999-08-01,0.2555,105
106 Hunter Valley exc Newcastle,1999-08-01,0.1842,106
107 Illawarra,1999-08-01,0.2258,107
108 Mid North Coast,1999-08-01,0.25,108
109 Murray,1999-08-01,0.2359,109
110 New England and North West,1999-08-01,0.2284,110
111 Newcastle and Lake Macquarie,1999-08-01,0.2066,111
112 Richmond - Tweed,1999-08-01,0.2899,112
113 Riverina,1999-08-01,0.2341,113
114 Southern Highlands and Shoalhaven,1999-08-01,0.2363,114
206 Melbourne - Inner,1999-08-01,0.2425,206
207 Melbourne - Inner East,1999-08-01,0.246,207
208 Melbourne - Inner South,1999-08-01,0.2605,208
209 Melbourne - North East,1999-08-01,0.2749,209
210 Melbourne - North West,1999-08-01,0.2894,210
211 Melbourne - Outer East,1999-08-01,0.3016,211
212 Melbourne - South East,1999-08-01,0.2884,212
213 Melbourne - West,1999-08-01,0.2704,213
214 Mornington Peninsula,1999-08-01,0.3046,214
201 Ballarat,1999-08-01,0.2698,201
202 Bendigo,1999-08-01,0.2465,202
203 Geelong,1999-08-01,0.2094,203
204 Hume,1999-08-01,0.2553,204
