Labour market region (SA4): ASGS (2011),Date,Percent of Total Workers,sa4_code_2011
312 Mackay,1/8/00,26.84,312
315 Queensland - Outback,1/8/00,32.02,315
316 Sunshine Coast,1/8/00,21.92,316
317 Toowoomba,1/8/00,27.36,317
318 Townsville,1/8/00,30.1,318
319 Wide Bay,1/8/00,29.27,319
401 Adelaide - Central and Hills,1/8/00,41.39,401
402 Adelaide - North,1/8/00,19.9,402
403 Adelaide - South,1/8/00,28.28,403
404 Adelaide - West,1/8/00,26.81,404
405 Barossa - Yorke - Mid North,1/8/00,36.03,405
406 South Australia - Outback,1/8/00,25.47,406
407 South Australia - South East,1/8/00,29.3,407
502 Mandurah,1/8/00,18.33,502
503 Perth - Inner,1/8/00,47.56,503
504 Perth - North East,1/8/00,24.47,504
505 Perth - North West,1/8/00,25.26,505
506 Perth - South East,1/8/00,25.88,506
507 Perth - South West,1/8/00,29.31,507
501 Bunbury,1/8/00,23.48,501
508 Western Australia - Outback,1/8/00,25.04,508
509 Western Australia - Wheat Belt,1/8/00,36.69,509
601 Hobart,1/8/00,28.59,601
602 Launceston and North East,1/8/00,28.47,602
603 Tasmania - South East,1/8/00,32.61,603
604 Tasmania - West and North West,1/8/00,24.92,604
701 Darwin,1/8/00,30.27,701
702 Northern Territory - Outback,1/8/00,28.34,702
801 Australian Capital Territory,1/8/00,40.8,801
102 Central Coast,1/8/01,25.56,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/01,40.9,115
116 Sydney - Blacktown,1/8/01,19.37,116
117 Sydney - City and Inner South,1/8/01,38.69,117
118 Sydney - Eastern Suburbs,1/8/01,50.21,118
119 Sydney - Inner South West,1/8/01,26.06,119
120 Sydney - Inner West,1/8/01,44.34,120
121 Sydney - North Sydney and Hornsby,1/8/01,53.62,121
122 Sydney - Northern Beaches,1/8/01,38.57,122
123 Sydney - Outer South West,1/8/01,22.82,123
124 Sydney - Outer West and Blue Mountains,1/8/01,24.28,124
125 Sydney - Parramatta,1/8/01,27.02,125
126 Sydney - Ryde,1/8/01,40.88,126
127 Sydney - South West,1/8/01,18.69,127
128 Sydney - Sutherland,1/8/01,33.39,128
101 Capital Region,1/8/01,29.3,101
103 New South Wales - Central West,1/8/01,26.35,103
104 Coffs Harbour - Grafton,1/8/01,34.24,104
105 Far West and Orana,1/8/01,43.81,105
106 Hunter Valley exc Newcastle,1/8/01,23.5,106
107 Illawarra,1/8/01,28.65,107
108 Mid North Coast,1/8/01,23.82,108
109 Murray,1/8/01,23.78,109
110 New England and North West,1/8/01,34.91,110
111 Newcastle and Lake Macquarie,1/8/01,25.95,111
112 Richmond - Tweed,1/8/01,33.42,112
113 Riverina,1/8/01,30.05,113
114 Southern Highlands and Shoalhaven,1/8/01,27.25,114
206 Melbourne - Inner,1/8/01,51.51,206
207 Melbourne - Inner East,1/8/01,50.16,207
208 Melbourne - Inner South,1/8/01,44.3,208
209 Melbourne - North East,1/8/01,26.95,209
210 Melbourne - North West,1/8/01,24.25,210
211 Melbourne - Outer East,1/8/01,28.96,211
212 Melbourne - South East,1/8/01,24.19,212
213 Melbourne - West,1/8/01,22.81,213
214 Mornington Peninsula,1/8/01,27.03,214
201 Ballarat,1/8/01,32.6,201
202 Bendigo,1/8/01,27.4,202
203 Geelong,1/8/01,28.98,203
204 Hume,1/8/01,28.21,204
205 Latrobe - Gippsland,1/8/01,32.81,205
215 Victoria - North West,1/8/01,37.77,215
216 Shepparton,1/8/01,32.45,216
217 Warrnambool and South West,1/8/01,36.89,217
301 Brisbane - East,1/8/01,27.9,301
302 Brisbane - North,1/8/01,26.77,302
303 Brisbane - South,1/8/01,31.76,303
304 Brisbane - West,1/8/01,41.3,304
305 Brisbane Inner City,1/8/01,43.43,305
310 Ipswich,1/8/01,20.51,310
311 Logan - Beaudesert,1/8/01,17.84,311
313 Moreton Bay - North,1/8/01,17.3,313
314 Moreton Bay - South,1/8/01,27.85,314
306 Cairns,1/8/01,30.15,306
307 Darling Downs - Maranoa,1/8/01,38.16,307
308 Fitzroy,1/8/01,30.09,308
309 Gold Coast,1/8/01,24.61,309
312 Mackay,1/8/01,26.71,312
315 Queensland - Outback,1/8/01,23.84,315
316 Sunshine Coast,1/8/01,27.63,316
317 Toowoomba,1/8/01,22.86,317
318 Townsville,1/8/01,28.37,318
319 Wide Bay,1/8/01,29.96,319
401 Adelaide - Central and Hills,1/8/01,42.64,401
402 Adelaide - North,1/8/01,20.16,402
403 Adelaide - South,1/8/01,29.69,403
404 Adelaide - West,1/8/01,26.85,404
405 Barossa - Yorke - Mid North,1/8/01,32.33,405
406 South Australia - Outback,1/8/01,31.7,406
407 South Australia - South East,1/8/01,32.8,407
502 Mandurah,1/8/01,29.51,502
503 Perth - Inner,1/8/01,50,503
504 Perth - North East,1/8/01,23.05,504
505 Perth - North West,1/8/01,27.34,505
506 Perth - South East,1/8/01,24.09,506
507 Perth - South West,1/8/01,27.53,507
501 Bunbury,1/8/01,20.6,501
508 Western Australia - Outback,1/8/01,28.52,508
509 Western Australia - Wheat Belt,1/8/01,37.09,509
601 Hobart,1/8/01,29.32,601
602 Launceston and North East,1/8/01,28.43,602
603 Tasmania - South East,1/8/01,28.74,603
604 Tasmania - West and North West,1/8/01,24.29,604
701 Darwin,1/8/01,30.57,701
702 Northern Territory - Outback,1/8/01,30.28,702
801 Australian Capital Territory,1/8/01,42.02,801
102 Central Coast,1/8/02,26.33,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/02,43.37,115
116 Sydney - Blacktown,1/8/02,19.62,116
117 Sydney - City and Inner South,1/8/02,42.95,117
118 Sydney - Eastern Suburbs,1/8/02,48.43,118
119 Sydney - Inner South West,1/8/02,28.35,119
120 Sydney - Inner West,1/8/02,45.33,120
121 Sydney - North Sydney and Hornsby,1/8/02,54.6,121
122 Sydney - Northern Beaches,1/8/02,39.76,122
123 Sydney - Outer South West,1/8/02,19.11,123
124 Sydney - Outer West and Blue Mountains,1/8/02,24.6,124
125 Sydney - Parramatta,1/8/02,28.18,125
126 Sydney - Ryde,1/8/02,44.56,126
127 Sydney - South West,1/8/02,19.62,127
128 Sydney - Sutherland,1/8/02,35.09,128
101 Capital Region,1/8/02,29.67,101
103 New South Wales - Central West,1/8/02,30.51,103
104 Coffs Harbour - Grafton,1/8/02,38.2,104
105 Far West and Orana,1/8/02,44.43,105
106 Hunter Valley exc Newcastle,1/8/02,25.11,106
107 Illawarra,1/8/02,29.98,107
108 Mid North Coast,1/8/02,23.93,108
109 Murray,1/8/02,20.54,109
110 New England and North West,1/8/02,36.16,110
111 Newcastle and Lake Macquarie,1/8/02,25.86,111
112 Richmond - Tweed,1/8/02,31.84,112
113 Riverina,1/8/02,35.43,113
114 Southern Highlands and Shoalhaven,1/8/02,30.14,114
206 Melbourne - Inner,1/8/02,50.39,206
207 Melbourne - Inner East,1/8/02,48.16,207
208 Melbourne - Inner South,1/8/02,46.62,208
209 Melbourne - North East,1/8/02,29.5,209
210 Melbourne - North West,1/8/02,21.41,210
211 Melbourne - Outer East,1/8/02,28.3,211
212 Melbourne - South East,1/8/02,25.4,212
213 Melbourne - West,1/8/02,24.5,213
214 Mornington Peninsula,1/8/02,26.55,214
201 Ballarat,1/8/02,30.77,201
202 Bendigo,1/8/02,30.39,202
203 Geelong,1/8/02,32.92,203
204 Hume,1/8/02,31.41,204
205 Latrobe - Gippsland,1/8/02,33.93,205
215 Victoria - North West,1/8/02,38.5,215
216 Shepparton,1/8/02,35.98,216
217 Warrnambool and South West,1/8/02,35.96,217
301 Brisbane - East,1/8/02,27.93,301
302 Brisbane - North,1/8/02,25.05,302
303 Brisbane - South,1/8/02,32.26,303
304 Brisbane - West,1/8/02,39.7,304
305 Brisbane Inner City,1/8/02,45.04,305
310 Ipswich,1/8/02,22.56,310
311 Logan - Beaudesert,1/8/02,17.86,311
313 Moreton Bay - North,1/8/02,22.11,313
314 Moreton Bay - South,1/8/02,28.55,314
306 Cairns,1/8/02,31.07,306
307 Darling Downs - Maranoa,1/8/02,32.03,307
308 Fitzroy,1/8/02,28.03,308
309 Gold Coast,1/8/02,26.39,309
312 Mackay,1/8/02,26.95,312
315 Queensland - Outback,1/8/02,22.81,315
316 Sunshine Coast,1/8/02,26.63,316
317 Toowoomba,1/8/02,23.63,317
318 Townsville,1/8/02,34.71,318
319 Wide Bay,1/8/02,25.78,319
401 Adelaide - Central and Hills,1/8/02,41.95,401
402 Adelaide - North,1/8/02,19.43,402
403 Adelaide - South,1/8/02,29.74,403
404 Adelaide - West,1/8/02,27.75,404
405 Barossa - Yorke - Mid North,1/8/02,36.57,405
406 South Australia - Outback,1/8/02,22.27,406
407 South Australia - South East,1/8/02,31.91,407
502 Mandurah,1/8/02,20.05,502
503 Perth - Inner,1/8/02,53.43,503
504 Perth - North East,1/8/02,25.11,504
505 Perth - North West,1/8/02,28.97,505
506 Perth - South East,1/8/02,27.21,506
507 Perth - South West,1/8/02,29.81,507
501 Bunbury,1/8/02,22.61,501
508 Western Australia - Outback,1/8/02,21.82,508
509 Western Australia - Wheat Belt,1/8/02,43.14,509
601 Hobart,1/8/02,27.04,601
602 Launceston and North East,1/8/02,28.99,602
603 Tasmania - South East,1/8/02,28.59,603
604 Tasmania - West and North West,1/8/02,26.5,604
701 Darwin,1/8/02,32.38,701
702 Northern Territory - Outback,1/8/02,26.98,702
801 Australian Capital Territory,1/8/02,42.22,801
102 Central Coast,1/8/03,23.43,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/03,39.82,115
116 Sydney - Blacktown,1/8/03,19.94,116
117 Sydney - City and Inner South,1/8/03,39.82,117
118 Sydney - Eastern Suburbs,1/8/03,52.67,118
119 Sydney - Inner South West,1/8/03,25.72,119
120 Sydney - Inner West,1/8/03,42.33,120
121 Sydney - North Sydney and Hornsby,1/8/03,52.88,121
122 Sydney - Northern Beaches,1/8/03,40.04,122
123 Sydney - Outer South West,1/8/03,23.22,123
124 Sydney - Outer West and Blue Mountains,1/8/03,27.33,124
125 Sydney - Parramatta,1/8/03,28.06,125
126 Sydney - Ryde,1/8/03,48.67,126
127 Sydney - South West,1/8/03,22.29,127
128 Sydney - Sutherland,1/8/03,34.06,128
101 Capital Region,1/8/03,34.26,101
103 New South Wales - Central West,1/8/03,26.81,103
104 Coffs Harbour - Grafton,1/8/03,23.51,104
105 Far West and Orana,1/8/03,33.31,105
106 Hunter Valley exc Newcastle,1/8/03,22.46,106
107 Illawarra,1/8/03,28.98,107
108 Mid North Coast,1/8/03,27.22,108
109 Murray,1/8/03,23.38,109
110 New England and North West,1/8/03,31.57,110
111 Newcastle and Lake Macquarie,1/8/03,27.92,111
112 Richmond - Tweed,1/8/03,32.22,112
113 Riverina,1/8/03,30.45,113
114 Southern Highlands and Shoalhaven,1/8/03,27.23,114
206 Melbourne - Inner,1/8/03,52.32,206
207 Melbourne - Inner East,1/8/03,48.07,207
208 Melbourne - Inner South,1/8/03,47.86,208
209 Melbourne - North East,1/8/03,29.25,209
210 Melbourne - North West,1/8/03,21.01,210
211 Melbourne - Outer East,1/8/03,27.84,211
212 Melbourne - South East,1/8/03,25.99,212
213 Melbourne - West,1/8/03,24.09,213
214 Mornington Peninsula,1/8/03,26.05,214
201 Ballarat,1/8/03,30.89,201
202 Bendigo,1/8/03,30.38,202
203 Geelong,1/8/03,28.57,203
204 Hume,1/8/03,30.55,204
205 Latrobe - Gippsland,1/8/03,31.53,205
215 Victoria - North West,1/8/03,37.89,215
216 Shepparton,1/8/03,25.15,216
217 Warrnambool and South West,1/8/03,37.29,217
301 Brisbane - East,1/8/03,23.47,301
302 Brisbane - North,1/8/03,25.1,302
303 Brisbane - South,1/8/03,30.98,303
304 Brisbane - West,1/8/03,42.29,304
305 Brisbane Inner City,1/8/03,49.03,305
310 Ipswich,1/8/03,20.02,310
311 Logan - Beaudesert,1/8/03,17.46,311
313 Moreton Bay - North,1/8/03,18.27,313
314 Moreton Bay - South,1/8/03,22.79,314
306 Cairns,1/8/03,27.51,306
307 Darling Downs - Maranoa,1/8/03,38.2,307
308 Fitzroy,1/8/03,24.41,308
309 Gold Coast,1/8/03,25.22,309
312 Mackay,1/8/03,23.73,312
315 Queensland - Outback,1/8/03,29.42,315
316 Sunshine Coast,1/8/03,28.31,316
317 Toowoomba,1/8/03,21.34,317
318 Townsville,1/8/03,26.1,318
319 Wide Bay,1/8/03,27.94,319
401 Adelaide - Central and Hills,1/8/03,42.36,401
402 Adelaide - North,1/8/03,20.03,402
403 Adelaide - South,1/8/03,27.66,403
404 Adelaide - West,1/8/03,28.97,404
405 Barossa - Yorke - Mid North,1/8/03,36.4,405
406 South Australia - Outback,1/8/03,24.82,406
407 South Australia - South East,1/8/03,31.77,407
502 Mandurah,1/8/03,21.16,502
503 Perth - Inner,1/8/03,53.66,503
504 Perth - North East,1/8/03,26.62,504
505 Perth - North West,1/8/03,30.5,505
506 Perth - South East,1/8/03,26.67,506
507 Perth - South West,1/8/03,29.43,507
501 Bunbury,1/8/03,25.26,501
508 Western Australia - Outback,1/8/03,25.34,508
509 Western Australia - Wheat Belt,1/8/03,38.46,509
601 Hobart,1/8/03,32.25,601
602 Launceston and North East,1/8/03,26.78,602
603 Tasmania - South East,1/8/03,30.64,603
604 Tasmania - West and North West,1/8/03,24.73,604
701 Darwin,1/8/03,30.93,701
702 Northern Territory - Outback,1/8/03,25.49,702
801 Australian Capital Territory,1/8/03,43.28,801
102 Central Coast,1/8/04,24.9,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/04,37.88,115
116 Sydney - Blacktown,1/8/04,21.5,116
117 Sydney - City and Inner South,1/8/04,44.45,117
118 Sydney - Eastern Suburbs,1/8/04,52.43,118
119 Sydney - Inner South West,1/8/04,27.64,119
120 Sydney - Inner West,1/8/04,44.61,120
121 Sydney - North Sydney and Hornsby,1/8/04,53.9,121
122 Sydney - Northern Beaches,1/8/04,41.68,122
123 Sydney - Outer South West,1/8/04,23.09,123
124 Sydney - Outer West and Blue Mountains,1/8/04,27.89,124
125 Sydney - Parramatta,1/8/04,29.51,125
126 Sydney - Ryde,1/8/04,51.71,126
127 Sydney - South West,1/8/04,20.84,127
128 Sydney - Sutherland,1/8/04,33.23,128
101 Capital Region,1/8/04,30.68,101
103 New South Wales - Central West,1/8/04,31.59,103
104 Coffs Harbour - Grafton,1/8/04,27.11,104
105 Far West and Orana,1/8/04,38.31,105
106 Hunter Valley exc Newcastle,1/8/04,20.82,106
107 Illawarra,1/8/04,31.58,107
108 Mid North Coast,1/8/04,31.5,108
109 Murray,1/8/04,31.62,109
110 New England and North West,1/8/04,35.54,110
111 Newcastle and Lake Macquarie,1/8/04,27.7,111
112 Richmond - Tweed,1/8/04,34.32,112
113 Riverina,1/8/04,36.67,113
114 Southern Highlands and Shoalhaven,1/8/04,27.54,114
206 Melbourne - Inner,1/8/04,50,206
207 Melbourne - Inner East,1/8/04,46.34,207
208 Melbourne - Inner South,1/8/04,48.79,208
209 Melbourne - North East,1/8/04,31.65,209
210 Melbourne - North West,1/8/04,22.56,210
211 Melbourne - Outer East,1/8/04,27.7,211
212 Melbourne - South East,1/8/04,26.57,212
213 Melbourne - West,1/8/04,24.2,213
214 Mornington Peninsula,1/8/04,26.5,214
201 Ballarat,1/8/04,26.4,201
202 Bendigo,1/8/04,30.28,202
203 Geelong,1/8/04,29.75,203
204 Hume,1/8/04,33.77,204
205 Latrobe - Gippsland,1/8/04,31.02,205
215 Victoria - North West,1/8/04,39.92,215
216 Shepparton,1/8/04,33.33,216
217 Warrnambool and South West,1/8/04,32.53,217
301 Brisbane - East,1/8/04,22.55,301
302 Brisbane - North,1/8/04,27.36,302
303 Brisbane - South,1/8/04,34.95,303
304 Brisbane - West,1/8/04,45.36,304
305 Brisbane Inner City,1/8/04,47.59,305
310 Ipswich,1/8/04,20.18,310
311 Logan - Beaudesert,1/8/04,16.42,311
313 Moreton Bay - North,1/8/04,24.63,313
314 Moreton Bay - South,1/8/04,24.05,314
306 Cairns,1/8/04,29.05,306
307 Darling Downs - Maranoa,1/8/04,40.48,307
308 Fitzroy,1/8/04,22.31,308
309 Gold Coast,1/8/04,25.72,309
312 Mackay,1/8/04,25.34,312
315 Queensland - Outback,1/8/04,31.86,315
316 Sunshine Coast,1/8/04,27.42,316
317 Toowoomba,1/8/04,26.89,317
318 Townsville,1/8/04,23.57,318
319 Wide Bay,1/8/04,30.91,319
401 Adelaide - Central and Hills,1/8/04,43.96,401
402 Adelaide - North,1/8/04,19.25,402
403 Adelaide - South,1/8/04,29.96,403
404 Adelaide - West,1/8/04,27.47,404
405 Barossa - Yorke - Mid North,1/8/04,31.33,405
406 South Australia - Outback,1/8/04,28.8,406
407 South Australia - South East,1/8/04,34.1,407
502 Mandurah,1/8/04,18.74,502
503 Perth - Inner,1/8/04,51.72,503
504 Perth - North East,1/8/04,25.4,504
505 Perth - North West,1/8/04,30.32,505
506 Perth - South East,1/8/04,26.18,506
507 Perth - South West,1/8/04,29.67,507
501 Bunbury,1/8/04,27.72,501
508 Western Australia - Outback,1/8/04,28.15,508
509 Western Australia - Wheat Belt,1/8/04,34.35,509
601 Hobart,1/8/04,32.87,601
602 Launceston and North East,1/8/04,26.54,602
603 Tasmania - South East,1/8/04,30.79,603
604 Tasmania - West and North West,1/8/04,25.69,604
701 Darwin,1/8/04,31.49,701
702 Northern Territory - Outback,1/8/04,25.82,702
801 Australian Capital Territory,1/8/04,43.03,801
102 Central Coast,1/8/05,27.03,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/05,39.41,115
116 Sydney - Blacktown,1/8/05,23.61,116
117 Sydney - City and Inner South,1/8/05,42.43,117
118 Sydney - Eastern Suburbs,1/8/05,50.46,118
119 Sydney - Inner South West,1/8/05,29.93,119
120 Sydney - Inner West,1/8/05,45.87,120
121 Sydney - North Sydney and Hornsby,1/8/05,52.27,121
122 Sydney - Northern Beaches,1/8/05,44.11,122
123 Sydney - Outer South West,1/8/05,26.53,123
124 Sydney - Outer West and Blue Mountains,1/8/05,26.55,124
125 Sydney - Parramatta,1/8/05,30.46,125
126 Sydney - Ryde,1/8/05,47.41,126
127 Sydney - South West,1/8/05,22.3,127
128 Sydney - Sutherland,1/8/05,32.28,128
101 Capital Region,1/8/05,29.84,101
103 New South Wales - Central West,1/8/05,30.98,103
104 Coffs Harbour - Grafton,1/8/05,26.35,104
105 Far West and Orana,1/8/05,36.57,105
106 Hunter Valley exc Newcastle,1/8/05,20.26,106
107 Illawarra,1/8/05,29.52,107
108 Mid North Coast,1/8/05,27.99,108
109 Murray,1/8/05,26.7,109
110 New England and North West,1/8/05,31.74,110
111 Newcastle and Lake Macquarie,1/8/05,32.92,111
112 Richmond - Tweed,1/8/05,33.64,112
113 Riverina,1/8/05,37.31,113
114 Southern Highlands and Shoalhaven,1/8/05,28.24,114
206 Melbourne - Inner,1/8/05,48.77,206
207 Melbourne - Inner East,1/8/05,48.37,207
208 Melbourne - Inner South,1/8/05,46.53,208
209 Melbourne - North East,1/8/05,31.34,209
210 Melbourne - North West,1/8/05,22.48,210
211 Melbourne - Outer East,1/8/05,31.22,211
212 Melbourne - South East,1/8/05,26.74,212
213 Melbourne - West,1/8/05,25.55,213
214 Mornington Peninsula,1/8/05,24.98,214
201 Ballarat,1/8/05,28.19,201
202 Bendigo,1/8/05,31.74,202
203 Geelong,1/8/05,28.76,203
204 Hume,1/8/05,35.75,204
205 Latrobe - Gippsland,1/8/05,30.87,205
215 Victoria - North West,1/8/05,31.43,215
216 Shepparton,1/8/05,26.68,216
217 Warrnambool and South West,1/8/05,34.63,217
301 Brisbane - East,1/8/05,24.85,301
302 Brisbane - North,1/8/05,30.65,302
303 Brisbane - South,1/8/05,34.84,303
304 Brisbane - West,1/8/05,47.66,304
305 Brisbane Inner City,1/8/05,47.56,305
310 Ipswich,1/8/05,18.13,310
311 Logan - Beaudesert,1/8/05,18.06,311
313 Moreton Bay - North,1/8/05,21.63,313
314 Moreton Bay - South,1/8/05,27.6,314
306 Cairns,1/8/05,24.17,306
307 Darling Downs - Maranoa,1/8/05,33.09,307
308 Fitzroy,1/8/05,27.86,308
309 Gold Coast,1/8/05,28.8,309
312 Mackay,1/8/05,29.6,312
315 Queensland - Outback,1/8/05,25.29,315
316 Sunshine Coast,1/8/05,24.17,316
317 Toowoomba,1/8/05,28.21,317
318 Townsville,1/8/05,26.18,318
319 Wide Bay,1/8/05,28.61,319
401 Adelaide - Central and Hills,1/8/05,43.65,401
402 Adelaide - North,1/8/05,21.24,402
403 Adelaide - South,1/8/05,29.67,403
404 Adelaide - West,1/8/05,29.89,404
405 Barossa - Yorke - Mid North,1/8/05,33.31,405
406 South Australia - Outback,1/8/05,30.59,406
407 South Australia - South East,1/8/05,30.58,407
502 Mandurah,1/8/05,18.85,502
503 Perth - Inner,1/8/05,55.46,503
504 Perth - North East,1/8/05,28.28,504
505 Perth - North West,1/8/05,30.32,505
506 Perth - South East,1/8/05,27.35,506
507 Perth - South West,1/8/05,30.99,507
501 Bunbury,1/8/05,25.7,501
508 Western Australia - Outback,1/8/05,28.65,508
509 Western Australia - Wheat Belt,1/8/05,38.62,509
601 Hobart,1/8/05,34.43,601
602 Launceston and North East,1/8/05,28.95,602
