Labour market region (SA4): ASGS (2011),Date,Percent of part time workers,sa4_code_2011
509 Western Australia - Wheat Belt,1/8/14,22.69,509
601 Hobart,1/8/14,30.87,601
602 Launceston and North East,1/8/14,33.64,602
603 Tasmania - South East,1/8/14,30.92,603
604 Tasmania - West and North West,1/8/14,30.41,604
701 Darwin,1/8/14,24.93,701
702 Northern Territory - Outback,1/8/14,32.23,702
801 Australian Capital Territory,1/8/14,33.6,801
102 Central Coast,1/8/15,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/15,30.21,115
116 Sydney - Blacktown,1/8/15,41.73,116
117 Sydney - City and Inner South,1/8/15,27.51,117
118 Sydney - Eastern Suburbs,1/8/15,54.71,118
119 Sydney - Inner South West,1/8/15,58.2,119
120 Sydney - Inner West,1/8/15,33.11,120
121 Sydney - North Sydney and Hornsby,1/8/15,51.13,121
122 Sydney - Northern Beaches,1/8/15,60.16,122
123 Sydney - Outer South West,1/8/15,47.87,123
124 Sydney - Outer West and Blue Mountains,1/8/15,28.13,124
125 Sydney - Parramatta,1/8/15,32.17,125
126 Sydney - Ryde,1/8/15,33.74,126
127 Sydney - South West,1/8/15,52.57,127
128 Sydney - Sutherland,1/8/15,24,128
101 Capital Region,1/8/15,36.08,101
103 New South Wales - Central West,1/8/15,33.86,103
104 Coffs Harbour - Grafton,1/8/15,30.8,104
105 Far West and Orana,1/8/15,26.18,105
106 Hunter Valley exc Newcastle,1/8/15,31.75,106
107 Illawarra,1/8/15,24.63,107
108 Mid North Coast,1/8/15,31.3,108
109 Murray,1/8/15,28.88,109
110 New England and North West,1/8/15,25.9,110
111 Newcastle and Lake Macquarie,1/8/15,22.77,111
112 Richmond - Tweed,1/8/15,34.94,112
113 Riverina,1/8/15,32.6,113
114 Southern Highlands and Shoalhaven,1/8/15,38.58,114
206 Melbourne - Inner,1/8/15,25.74,206
207 Melbourne - Inner East,1/8/15,57.21,207
208 Melbourne - Inner South,1/8/15,53.95,208
209 Melbourne - North East,1/8/15,49.58,209
210 Melbourne - North West,1/8/15,33.67,210
211 Melbourne - Outer East,1/8/15,32.3,211
212 Melbourne - South East,1/8/15,34.64,212
213 Melbourne - West,1/8/15,29.14,213
214 Mornington Peninsula,1/8/15,32.38,214
201 Ballarat,1/8/15,28.15,201
202 Bendigo,1/8/15,39.72,202
203 Geelong,1/8/15,35.92,203
204 Hume,1/8/15,33.63,204
205 Latrobe - Gippsland,1/8/15,31.84,205
215 Victoria - North West,1/8/15,32.54,215
216 Shepparton,1/8/15,33.59,216
217 Warrnambool and South West,1/8/15,36.01,217
301 Brisbane - East,1/8/15,32,301
302 Brisbane - North,1/8/15,32.95,302
303 Brisbane - South,1/8/15,39.94,303
304 Brisbane - West,1/8/15,40.09,304
305 Brisbane Inner City,1/8/15,49.69,305
310 Ipswich,1/8/15,51.15,310
311 Logan - Beaudesert,1/8/15,25.73,311
313 Moreton Bay - North,1/8/15,22.89,313
314 Moreton Bay - South,1/8/15,21.98,314
306 Cairns,1/8/15,31.2,306
307 Darling Downs - Maranoa,1/8/15,33.11,307
308 Fitzroy,1/8/15,22.9,308
309 Gold Coast,1/8/15,32.28,309
312 Mackay,1/8/15,31.68,312
315 Queensland - Outback,1/8/15,22.07,315
316 Sunshine Coast,1/8/15,28.66,316
317 Toowoomba,1/8/15,30.83,317
318 Townsville,1/8/15,29.7,318
319 Wide Bay,1/8/15,24.97,319
401 Adelaide - Central and Hills,1/8/15,30.09,401
402 Adelaide - North,1/8/15,48.21,402
403 Adelaide - South,1/8/15,25.09,403
404 Adelaide - West,1/8/15,34.98,404
405 Barossa - Yorke - Mid North,1/8/15,33.06,405
406 South Australia - Outback,1/8/15,34.96,406
407 South Australia - South East,1/8/15,40.26,407
502 Mandurah,1/8/15,31.29,502
503 Perth - Inner,1/8/15,25.98,503
504 Perth - North East,1/8/15,55.93,504
505 Perth - North West,1/8/15,30.05,505
506 Perth - South East,1/8/15,34.54,506
507 Perth - South West,1/8/15,31.33,507
501 Bunbury,1/8/15,32.29,501
508 Western Australia - Outback,1/8/15,31.15,508
509 Western Australia - Wheat Belt,1/8/15,22.16,509
601 Hobart,1/8/15,30.24,601
602 Launceston and North East,1/8/15,33.73,602
603 Tasmania - South East,1/8/15,30.45,603
604 Tasmania - West and North West,1/8/15,30,604
701 Darwin,1/8/15,24.75,701
702 Northern Territory - Outback,1/8/15,31.25,702
801 Australian Capital Territory,1/8/15,32.91,801
102 Central Coast,1/8/16,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/16,33.67,115
116 Sydney - Blacktown,1/8/16,48.79,116
117 Sydney - City and Inner South,1/8/16,30.92,117
118 Sydney - Eastern Suburbs,1/8/16,57.27,118
119 Sydney - Inner South West,1/8/16,58.71,119
120 Sydney - Inner West,1/8/16,33.97,120
121 Sydney - North Sydney and Hornsby,1/8/16,50.77,121
122 Sydney - Northern Beaches,1/8/16,62.22,122
123 Sydney - Outer South West,1/8/16,48.87,123
124 Sydney - Outer West and Blue Mountains,1/8/16,26.94,124
125 Sydney - Parramatta,1/8/16,29.67,125
126 Sydney - Ryde,1/8/16,36.29,126
127 Sydney - South West,1/8/16,52.76,127
128 Sydney - Sutherland,1/8/16,26.6,128
101 Capital Region,1/8/16,40.77,101
103 New South Wales - Central West,1/8/16,30.05,103
104 Coffs Harbour - Grafton,1/8/16,28.58,104
105 Far West and Orana,1/8/16,23.6,105
106 Hunter Valley exc Newcastle,1/8/16,29.58,106
107 Illawarra,1/8/16,23.63,107
108 Mid North Coast,1/8/16,35.4,108
109 Murray,1/8/16,35.09,109
110 New England and North West,1/8/16,24.04,110
111 Newcastle and Lake Macquarie,1/8/16,30.37,111
112 Richmond - Tweed,1/8/16,31.19,112
113 Riverina,1/8/16,29.62,113
114 Southern Highlands and Shoalhaven,1/8/16,39.32,114
206 Melbourne - Inner,1/8/16,23.52,206
207 Melbourne - Inner East,1/8/16,55.62,207
208 Melbourne - Inner South,1/8/16,52.72,208
209 Melbourne - North East,1/8/16,52.28,209
210 Melbourne - North West,1/8/16,34.38,210
211 Melbourne - Outer East,1/8/16,24.63,211
212 Melbourne - South East,1/8/16,34.13,212
213 Melbourne - West,1/8/16,28.19,213
214 Mornington Peninsula,1/8/16,29.83,214
201 Ballarat,1/8/16,30.78,201
202 Bendigo,1/8/16,35.32,202
203 Geelong,1/8/16,28.91,203
204 Hume,1/8/16,32.6,204
205 Latrobe - Gippsland,1/8/16,31.99,205
215 Victoria - North West,1/8/16,27.01,215
216 Shepparton,1/8/16,34.81,216
217 Warrnambool and South West,1/8/16,36.12,217
301 Brisbane - East,1/8/16,42.23,301
302 Brisbane - North,1/8/16,31.03,302
303 Brisbane - South,1/8/16,41.61,303
304 Brisbane - West,1/8/16,41.72,304
305 Brisbane Inner City,1/8/16,46.94,305
310 Ipswich,1/8/16,50.44,310
311 Logan - Beaudesert,1/8/16,26.36,311
313 Moreton Bay - North,1/8/16,25.08,313
314 Moreton Bay - South,1/8/16,21.42,314
306 Cairns,1/8/16,29.02,306
307 Darling Downs - Maranoa,1/8/16,30.28,307
308 Fitzroy,1/8/16,24.04,308
309 Gold Coast,1/8/16,31.35,309
312 Mackay,1/8/16,30.59,312
315 Queensland - Outback,1/8/16,26.42,315
316 Sunshine Coast,1/8/16,25.67,316
317 Toowoomba,1/8/16,32.96,317
318 Townsville,1/8/16,31.05,318
319 Wide Bay,1/8/16,29.9,319
401 Adelaide - Central and Hills,1/8/16,29.23,401
402 Adelaide - North,1/8/16,49.15,402
403 Adelaide - South,1/8/16,26.13,403
404 Adelaide - West,1/8/16,31.62,404
405 Barossa - Yorke - Mid North,1/8/16,35.71,405
406 South Australia - Outback,1/8/16,32.8,406
407 South Australia - South East,1/8/16,24.36,407
502 Mandurah,1/8/16,27.57,502
503 Perth - Inner,1/8/16,22.05,503
504 Perth - North East,1/8/16,57.74,504
505 Perth - North West,1/8/16,29.24,505
506 Perth - South East,1/8/16,35.98,506
507 Perth - South West,1/8/16,29.39,507
501 Bunbury,1/8/16,33.05,501
508 Western Australia - Outback,1/8/16,26.55,508
509 Western Australia - Wheat Belt,1/8/16,23.42,509
601 Hobart,1/8/16,31.97,601
602 Launceston and North East,1/8/16,33.64,602
603 Tasmania - South East,1/8/16,30.02,603
604 Tasmania - West and North West,1/8/16,31.22,604
701 Darwin,1/8/16,26.16,701
702 Northern Territory - Outback,1/8/16,30.91,702
801 Australian Capital Territory,1/8/16,33.71,801
102 Central Coast,1/2/00,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/2/00,24.35,115
116 Sydney - Blacktown,1/2/00,42.48,116
117 Sydney - City and Inner South,1/2/00,17.94,117
118 Sydney - Eastern Suburbs,1/2/00,39.31,118
119 Sydney - Inner South West,1/2/00,44.4,119
120 Sydney - Inner West,1/2/00,24.47,120
121 Sydney - North Sydney and Hornsby,1/2/00,41.36,121
122 Sydney - Northern Beaches,1/2/00,53.63,122
123 Sydney - Outer South West,1/2/00,39.26,123
124 Sydney - Outer West and Blue Mountains,1/2/00,22.28,124
125 Sydney - Parramatta,1/2/00,23.38,125
126 Sydney - Ryde,1/2/00,30.18,126
127 Sydney - South West,1/2/00,41.61,127
128 Sydney - Sutherland,1/2/00,17.35,128
101 Capital Region,1/2/00,28.65,101
103 New South Wales - Central West,1/2/00,35.39,103
104 Coffs Harbour - Grafton,1/2/00,31.18,104
105 Far West and Orana,1/2/00,32.35,105
106 Hunter Valley exc Newcastle,1/2/00,42.71,106
107 Illawarra,1/2/00,21.13,107
108 Mid North Coast,1/2/00,30.39,108
109 Murray,1/2/00,28.84,109
110 New England and North West,1/2/00,28.29,110
111 Newcastle and Lake Macquarie,1/2/00,38.05,111
112 Richmond - Tweed,1/2/00,25.45,112
113 Riverina,1/2/00,30.13,113
114 Southern Highlands and Shoalhaven,1/2/00,29.89,114
206 Melbourne - Inner,1/2/00,32.44,206
207 Melbourne - Inner East,1/2/00,46.25,207
208 Melbourne - Inner South,1/2/00,45.4,208
209 Melbourne - North East,1/2/00,41.8,209
210 Melbourne - North West,1/2/00,29.01,210
211 Melbourne - Outer East,1/2/00,23.32,211
212 Melbourne - South East,1/2/00,27.87,212
213 Melbourne - West,1/2/00,22.92,213
214 Mornington Peninsula,1/2/00,21.51,214
201 Ballarat,1/2/00,22.03,201
202 Bendigo,1/2/00,28.1,202
203 Geelong,1/2/00,33.51,203
204 Hume,1/2/00,26.61,204
205 Latrobe - Gippsland,1/2/00,29.92,205
215 Victoria - North West,1/2/00,30.39,215
216 Shepparton,1/2/00,38.1,216
217 Warrnambool and South West,1/2/00,30.75,217
301 Brisbane - East,1/2/00,33.12,301
302 Brisbane - North,1/2/00,24.5,302
303 Brisbane - South,1/2/00,23.53,303
304 Brisbane - West,1/2/00,27.26,304
305 Brisbane Inner City,1/2/00,42.8,305
310 Ipswich,1/2/00,42.13,310
311 Logan - Beaudesert,1/2/00,18.99,311
313 Moreton Bay - North,1/2/00,14.61,313
314 Moreton Bay - South,1/2/00,18.53,314
306 Cairns,1/2/00,28.44,306
307 Darling Downs - Maranoa,1/2/00,26.07,307
308 Fitzroy,1/2/00,34.95,308
309 Gold Coast,1/2/00,27.91,309
312 Mackay,1/2/00,21.5,312
315 Queensland - Outback,1/2/00,22.64,315
316 Sunshine Coast,1/2/00,36.47,316
317 Toowoomba,1/2/00,23.26,317
318 Townsville,1/2/00,25.16,318
319 Wide Bay,1/2/00,28.72,319
401 Adelaide - Central and Hills,1/2/00,27.56,401
402 Adelaide - North,1/2/00,41.23,402
403 Adelaide - South,1/2/00,19.31,403
404 Adelaide - West,1/2/00,27.68,404
405 Barossa - Yorke - Mid North,1/2/00,26.13,405
406 South Australia - Outback,1/2/00,38.6,406
407 South Australia - South East,1/2/00,26.25,407
502 Mandurah,1/2/00,31.82,502
503 Perth - Inner,1/2/00,18.27,503
504 Perth - North East,1/2/00,46.89,504
505 Perth - North West,1/2/00,24.16,505
506 Perth - South East,1/2/00,26.19,506
507 Perth - South West,1/2/00,24.36,507
501 Bunbury,1/2/00,28.49,501
508 Western Australia - Outback,1/2/00,27.02,508
509 Western Australia - Wheat Belt,1/2/00,27.19,509
601 Hobart,1/2/00,37.92,601
602 Launceston and North East,1/2/00,27.95,602
603 Tasmania - South East,1/2/00,27.78,603
604 Tasmania - West and North West,1/2/00,29.5,604
701 Darwin,1/2/00,25.44,701
702 Northern Territory - Outback,1/2/00,30.57,702
801 Australian Capital Territory,1/2/00,26.3,801
102 Central Coast,1/2/01,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/2/01,26.8,115
116 Sydney - Blacktown,1/2/01,39.72,116
117 Sydney - City and Inner South,1/2/01,18.91,117
118 Sydney - Eastern Suburbs,1/2/01,38.76,118
119 Sydney - Inner South West,1/2/01,48.17,119
120 Sydney - Inner West,1/2/01,25.51,120
121 Sydney - North Sydney and Hornsby,1/2/01,42.01,121
122 Sydney - Northern Beaches,1/2/01,52.69,122
123 Sydney - Outer South West,1/2/01,39.68,123
124 Sydney - Outer West and Blue Mountains,1/2/01,20.1,124
125 Sydney - Parramatta,1/2/01,23.63,125
126 Sydney - Ryde,1/2/01,25.99,126
127 Sydney - South West,1/2/01,43.46,127
128 Sydney - Sutherland,1/2/01,17.09,128
101 Capital Region,1/2/01,33.35,101
103 New South Wales - Central West,1/2/01,31.08,103
104 Coffs Harbour - Grafton,1/2/01,25.88,104
105 Far West and Orana,1/2/01,28.57,105
106 Hunter Valley exc Newcastle,1/2/01,45.62,106
107 Illawarra,1/2/01,23.87,107
108 Mid North Coast,1/2/01,25.67,108
109 Murray,1/2/01,24.42,109
110 New England and North West,1/2/01,25.87,110
111 Newcastle and Lake Macquarie,1/2/01,36.4,111
112 Richmond - Tweed,1/2/01,25.96,112
113 Riverina,1/2/01,32.76,113
114 Southern Highlands and Shoalhaven,1/2/01,31.41,114
206 Melbourne - Inner,1/2/01,29,206
207 Melbourne - Inner East,1/2/01,48.71,207
208 Melbourne - Inner South,1/2/01,45.8,208
209 Melbourne - North East,1/2/01,44.83,209
210 Melbourne - North West,1/2/01,26.9,210
211 Melbourne - Outer East,1/2/01,27,211
212 Melbourne - South East,1/2/01,29.15,212
213 Melbourne - West,1/2/01,23.98,213
214 Mornington Peninsula,1/2/01,22.67,214
201 Ballarat,1/2/01,24.95,201
202 Bendigo,1/2/01,34.83,202
203 Geelong,1/2/01,29.9,203
204 Hume,1/2/01,26.59,204
205 Latrobe - Gippsland,1/2/01,27.65,205
215 Victoria - North West,1/2/01,33.53,215
216 Shepparton,1/2/01,38.44,216
217 Warrnambool and South West,1/2/01,30.63,217
301 Brisbane - East,1/2/01,35.24,301
302 Brisbane - North,1/2/01,25.21,302
303 Brisbane - South,1/2/01,24.39,303
304 Brisbane - West,1/2/01,32.07,304
305 Brisbane Inner City,1/2/01,42.51,305
310 Ipswich,1/2/01,41.17,310
311 Logan - Beaudesert,1/2/01,18.5,311
313 Moreton Bay - North,1/2/01,17.16,313
314 Moreton Bay - South,1/2/01,16.99,314
306 Cairns,1/2/01,27.46,306
307 Darling Downs - Maranoa,1/2/01,27.42,307
308 Fitzroy,1/2/01,37.42,308
309 Gold Coast,1/2/01,27.07,309
312 Mackay,1/2/01,23.04,312
315 Queensland - Outback,1/2/01,25.91,315
316 Sunshine Coast,1/2/01,26.76,316
317 Toowoomba,1/2/01,25.39,317
318 Townsville,1/2/01,27.21,318
319 Wide Bay,1/2/01,30.88,319
401 Adelaide - Central and Hills,1/2/01,31.49,401
402 Adelaide - North,1/2/01,41.19,402
403 Adelaide - South,1/2/01,19.8,403
404 Adelaide - West,1/2/01,28.96,404
405 Barossa - Yorke - Mid North,1/2/01,26.49,405
406 South Australia - Outback,1/2/01,33.58,406
407 South Australia - South East,1/2/01,28.95,407
502 Mandurah,1/2/01,29.88,502
503 Perth - Inner,1/2/01,22.8,503
504 Perth - North East,1/2/01,48.19,504
505 Perth - North West,1/2/01,22.94,505
506 Perth - South East,1/2/01,26.14,506
507 Perth - South West,1/2/01,25.57,507
501 Bunbury,1/2/01,28.85,501
508 Western Australia - Outback,1/2/01,21.98,508
509 Western Australia - Wheat Belt,1/2/01,25.85,509
601 Hobart,1/2/01,35.29,601
602 Launceston and North East,1/2/01,28.78,602
603 Tasmania - South East,1/2/01,27.78,603
604 Tasmania - West and North West,1/2/01,29.56,604
701 Darwin,1/2/01,25.03,701
702 Northern Territory - Outback,1/2/01,29.55,702
801 Australian Capital Territory,1/2/01,27.63,801
102 Central Coast,1/2/02,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/2/02,24.71,115
116 Sydney - Blacktown,1/2/02,42.74,116
117 Sydney - City and Inner South,1/2/02,19.5,117
118 Sydney - Eastern Suburbs,1/2/02,41.71,118
119 Sydney - Inner South West,1/2/02,48.72,119
120 Sydney - Inner West,1/2/02,27.1,120
121 Sydney - North Sydney and Hornsby,1/2/02,45.68,121
122 Sydney - Northern Beaches,1/2/02,55.57,122
123 Sydney - Outer South West,1/2/02,37.8,123
124 Sydney - Outer West and Blue Mountains,1/2/02,22.41,124
125 Sydney - Parramatta,1/2/02,25.27,125
126 Sydney - Ryde,1/2/02,27.6,126
127 Sydney - South West,1/2/02,42.16,127
128 Sydney - Sutherland,1/2/02,19.34,128
101 Capital Region,1/2/02,32.91,101
103 New South Wales - Central West,1/2/02,31.47,103
104 Coffs Harbour - Grafton,1/2/02,32.45,104
105 Far West and Orana,1/2/02,39.34,105
106 Hunter Valley exc Newcastle,1/2/02,44.86,106
107 Illawarra,1/2/02,23.8,107
108 Mid North Coast,1/2/02,30.91,108
109 Murray,1/2/02,22.89,109
110 New England and North West,1/2/02,20.12,110
111 Newcastle and Lake Macquarie,1/2/02,34.77,111
112 Richmond - Tweed,1/2/02,26.14,112
113 Riverina,1/2/02,29.75,113
114 Southern Highlands and Shoalhaven,1/2/02,29.95,114
206 Melbourne - Inner,1/2/02,27.44,206
207 Melbourne - Inner East,1/2/02,51.52,207
208 Melbourne - Inner South,1/2/02,50.74,208
209 Melbourne - North East,1/2/02,45.26,209
210 Melbourne - North West,1/2/02,28.6,210
211 Melbourne - Outer East,1/2/02,23.1,211
212 Melbourne - South East,1/2/02,29.33,212
213 Melbourne - West,1/2/02,24.83,213
214 Mornington Peninsula,1/2/02,23.46,214
201 Ballarat,1/2/02,28.14,201
202 Bendigo,1/2/02,31.85,202
203 Geelong,1/2/02,29.57,203
204 Hume,1/2/02,31.87,204
205 Latrobe - Gippsland,1/2/02,29.09,205
215 Victoria - North West,1/2/02,35.06,215
216 Shepparton,1/2/02,37.94,216
217 Warrnambool and South West,1/2/02,34.05,217
301 Brisbane - East,1/2/02,37.42,301
302 Brisbane - North,1/2/02,28.08,302
303 Brisbane - South,1/2/02,26.29,303
304 Brisbane - West,1/2/02,30.73,304
305 Brisbane Inner City,1/2/02,40.8,305
310 Ipswich,1/2/02,43.28,310
311 Logan - Beaudesert,1/2/02,22.81,311
313 Moreton Bay - North,1/2/02,16.35,313
314 Moreton Bay - South,1/2/02,19.26,314
306 Cairns,1/2/02,26.94,306
307 Darling Downs - Maranoa,1/2/02,31.56,307
308 Fitzroy,1/2/02,34.55,308
309 Gold Coast,1/2/02,30.48,309
312 Mackay,1/2/02,26.24,312
315 Queensland - Outback,1/2/02,28.26,315
316 Sunshine Coast,1/2/02,21.53,316
317 Toowoomba,1/2/02,26.09,317
318 Townsville,1/2/02,23.12,318
319 Wide Bay,1/2/02,30.36,319
401 Adelaide - Central and Hills,1/2/02,26.93,401
402 Adelaide - North,1/2/02,42.76,402
403 Adelaide - South,1/2/02,21.01,403
404 Adelaide - West,1/2/02,30.59,404
405 Barossa - Yorke - Mid North,1/2/02,28.07,405
406 South Australia - Outback,1/2/02,34.64,406
407 South Australia - South East,1/2/02,27.2,407
502 Mandurah,1/2/02,32.93,502
503 Perth - Inner,1/2/02,25.99,503
504 Perth - North East,1/2/02,52.15,504
505 Perth - North West,1/2/02,24.85,505
506 Perth - South East,1/2/02,28.35,506
507 Perth - South West,1/2/02,24.99,507
501 Bunbury,1/2/02,27.71,501
508 Western Australia - Outback,1/2/02,19.88,508
509 Western Australia - Wheat Belt,1/2/02,26.16,509
601 Hobart,1/2/02,40.99,601
602 Launceston and North East,1/2/02,28.56,602
603 Tasmania - South East,1/2/02,30,603
604 Tasmania - West and North West,1/2/02,30.06,604
701 Darwin,1/2/02,24.05,701
702 Northern Territory - Outback,1/2/02,32.09,702
801 Australian Capital Territory,1/2/02,28.61,801
102 Central Coast,1/2/03,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/2/03,25.9,115
116 Sydney - Blacktown,1/2/03,40.77,116
117 Sydney - City and Inner South,1/2/03,19.91,117
118 Sydney - Eastern Suburbs,1/2/03,42.31,118
119 Sydney - Inner South West,1/2/03,52.2,119
120 Sydney - Inner West,1/2/03,27.56,120
121 Sydney - North Sydney and Hornsby,1/2/03,42.66,121
122 Sydney - Northern Beaches,1/2/03,52.77,122
123 Sydney - Outer South West,1/2/03,40.01,123
124 Sydney - Outer West and Blue Mountains,1/2/03,20.43,124
125 Sydney - Parramatta,1/2/03,25.39,125
126 Sydney - Ryde,1/2/03,29.13,126
127 Sydney - South West,1/2/03,47.85,127
128 Sydney - Sutherland,1/2/03,20.5,128
101 Capital Region,1/2/03,34.51,101
103 New South Wales - Central West,1/2/03,30.37,103
104 Coffs Harbour - Grafton,1/2/03,25.85,104
105 Far West and Orana,1/2/03,29.76,105
106 Hunter Valley exc Newcastle,1/2/03,35.75,106
107 Illawarra,1/2/03,22.83,107
108 Mid North Coast,1/2/03,29.29,108
109 Murray,1/2/03,24.16,109
110 New England and North West,1/2/03,22.39,110
111 Newcastle and Lake Macquarie,1/2/03,33.79,111
112 Richmond - Tweed,1/2/03,24.99,112
113 Riverina,1/2/03,33.37,113
114 Southern Highlands and Shoalhaven,1/2/03,35.77,114
206 Melbourne - Inner,1/2/03,29.63,206
207 Melbourne - Inner East,1/2/03,51.15,207
208 Melbourne - Inner South,1/2/03,47.36,208
209 Melbourne - North East,1/2/03,47.09,209
210 Melbourne - North West,1/2/03,29.59,210
211 Melbourne - Outer East,1/2/03,19.74,211
212 Melbourne - South East,1/2/03,27.7,212
213 Melbourne - West,1/2/03,26.05,213
214 Mornington Peninsula,1/2/03,24.4,214
201 Ballarat,1/2/03,25.12,201
202 Bendigo,1/2/03,31.75,202
203 Geelong,1/2/03,29.09,203
204 Hume,1/2/03,32.57,204
205 Latrobe - Gippsland,1/2/03,31.79,205
215 Victoria - North West,1/2/03,30.8,215
216 Shepparton,1/2/03,38.53,216
217 Warrnambool and South West,1/2/03,31.32,217
301 Brisbane - East,1/2/03,35.48,301
302 Brisbane - North,1/2/03,26.82,302
303 Brisbane - South,1/2/03,25.63,303
304 Brisbane - West,1/2/03,32.65,304
305 Brisbane Inner City,1/2/03,40.64,305
310 Ipswich,1/2/03,49.21,310
311 Logan - Beaudesert,1/2/03,21.34,311
313 Moreton Bay - North,1/2/03,17.9,313
314 Moreton Bay - South,1/2/03,20.83,314
306 Cairns,1/2/03,26.81,306
307 Darling Downs - Maranoa,1/2/03,28.84,307
308 Fitzroy,1/2/03,35.24,308
309 Gold Coast,1/2/03,26.39,309
312 Mackay,1/2/03,25.05,312
315 Queensland - Outback,1/2/03,24.94,315
316 Sunshine Coast,1/2/03,27.44,316
317 Toowoomba,1/2/03,28.52,317
318 Townsville,1/2/03,21.08,318
319 Wide Bay,1/2/03,32.37,319
401 Adelaide - Central and Hills,1/2/03,27.68,401
402 Adelaide - North,1/2/03,43.09,402
403 Adelaide - South,1/2/03,18.61,403
404 Adelaide - West,1/2/03,28.23,404
405 Barossa - Yorke - Mid North,1/2/03,27.97,405
406 South Australia - Outback,1/2/03,34.26,406
407 South Australia - South East,1/2/03,23.89,407
502 Mandurah,1/2/03,32.65,502
503 Perth - Inner,1/2/03,20.16,503
504 Perth - North East,1/2/03,53.51,504
505 Perth - North West,1/2/03,26.02,505
506 Perth - South East,1/2/03,29.31,506
507 Perth - South West,1/2/03,27.04,507
501 Bunbury,1/2/03,30.6,501
508 Western Australia - Outback,1/2/03,25.31,508
509 Western Australia - Wheat Belt,1/2/03,21.32,509
601 Hobart,1/2/03,41.71,601
602 Launceston and North East,1/2/03,29.49,602
603 Tasmania - South East,1/2/03,27.23,603
604 Tasmania - West and North West,1/2/03,31.15,604
701 Darwin,1/2/03,25.9,701
702 Northern Territory - Outback,1/2/03,31.01,702
801 Australian Capital Territory,1/2/03,25.9,801
102 Central Coast,1/2/04,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/2/04,22.58,115
116 Sydney - Blacktown,1/2/04,40.51,116
117 Sydney - City and Inner South,1/2/04,20.64,117
118 Sydney - Eastern Suburbs,1/2/04,40.68,118
119 Sydney - Inner South West,1/2/04,52.26,119
120 Sydney - Inner West,1/2/04,25.55,120
121 Sydney - North Sydney and Hornsby,1/2/04,44.9,121
122 Sydney - Northern Beaches,1/2/04,54.75,122
123 Sydney - Outer South West,1/2/04,41.17,123
124 Sydney - Outer West and Blue Mountains,1/2/04,22.22,124
125 Sydney - Parramatta,1/2/04,28.67,125
126 Sydney - Ryde,1/2/04,28.5,126
127 Sydney - South West,1/2/04,48.57,127
128 Sydney - Sutherland,1/2/04,22.26,128
101 Capital Region,1/2/04,36.68,101
103 New South Wales - Central West,1/2/04,31.83,103
104 Coffs Harbour - Grafton,1/2/04,29.24,104
105 Far West and Orana,1/2/04,24.35,105
106 Hunter Valley exc Newcastle,1/2/04,38.85,106
107 Illawarra,1/2/04,23.22,107
108 Mid North Coast,1/2/04,29.02,108
109 Murray,1/2/04,31.03,109
110 New England and North West,1/2/04,27.71,110
111 Newcastle and Lake Macquarie,1/2/04,34.65,111
112 Richmond - Tweed,1/2/04,28.48,112
113 Riverina,1/2/04,34.01,113
114 Southern Highlands and Shoalhaven,1/2/04,33.71,114
206 Melbourne - Inner,1/2/04,26.34,206
207 Melbourne - Inner East,1/2/04,51.45,207
208 Melbourne - Inner South,1/2/04,47.71,208
209 Melbourne - North East,1/2/04,48.77,209
210 Melbourne - North West,1/2/04,30,210
211 Melbourne - Outer East,1/2/04,22.81,211
212 Melbourne - South East,1/2/04,27.44,212
213 Melbourne - West,1/2/04,25.74,213
214 Mornington Peninsula,1/2/04,24.15,214
201 Ballarat,1/2/04,27.23,201
202 Bendigo,1/2/04,27.43,202
203 Geelong,1/2/04,31.22,203
204 Hume,1/2/04,26.29,204
205 Latrobe - Gippsland,1/2/04,32.29,205
215 Victoria - North West,1/2/04,30.66,215
216 Shepparton,1/2/04,38.12,216
217 Warrnambool and South West,1/2/04,28.41,217
301 Brisbane - East,1/2/04,36.84,301
302 Brisbane - North,1/2/04,21.86,302
303 Brisbane - South,1/2/04,25.11,303
304 Brisbane - West,1/2/04,32.81,304
305 Brisbane Inner City,1/2/04,42.78,305
310 Ipswich,1/2/04,47.61,310
311 Logan - Beaudesert,1/2/04,19.82,311
313 Moreton Bay - North,1/2/04,16.96,313
314 Moreton Bay - South,1/2/04,19.53,314
306 Cairns,1/2/04,20.37,306
307 Darling Downs - Maranoa,1/2/04,28.18,307
308 Fitzroy,1/2/04,40.24,308
309 Gold Coast,1/2/04,21.94,309
312 Mackay,1/2/04,24.53,312
315 Queensland - Outback,1/2/04,24.51,315
316 Sunshine Coast,1/2/04,28.22,316
317 Toowoomba,1/2/04,29.35,317
318 Townsville,1/2/04,23.79,318
319 Wide Bay,1/2/04,23.26,319
401 Adelaide - Central and Hills,1/2/04,28.89,401
402 Adelaide - North,1/2/04,42.15,402
403 Adelaide - South,1/2/04,19.98,403
404 Adelaide - West,1/2/04,28.68,404
405 Barossa - Yorke - Mid North,1/2/04,28.95,405
406 South Australia - Outback,1/2/04,36.34,406
