Labour market region (SA4): ASGS (2011),Date,Percent of part time workers,sa4_code_2011
314 Moreton Bay - South,1/8/00,16.16,314
306 Cairns,1/8/00,25.24,306
307 Darling Downs - Maranoa,1/8/00,26.37,307
308 Fitzroy,1/8/00,37.21,308
309 Gold Coast,1/8/00,28.14,309
312 Mackay,1/8/00,21.9,312
315 Queensland - Outback,1/8/00,26.84,315
316 Sunshine Coast,1/8/00,32.02,316
317 Toowoomba,1/8/00,21.92,317
318 Townsville,1/8/00,27.36,318
319 Wide Bay,1/8/00,30.1,319
401 Adelaide - Central and Hills,1/8/00,29.27,401
402 Adelaide - North,1/8/00,41.39,402
403 Adelaide - South,1/8/00,19.9,403
404 Adelaide - West,1/8/00,28.28,404
405 Barossa - Yorke - Mid North,1/8/00,26.81,405
406 South Australia - Outback,1/8/00,36.03,406
407 South Australia - South East,1/8/00,25.47,407
502 Mandurah,1/8/00,29.3,502
503 Perth - Inner,1/8/00,18.33,503
504 Perth - North East,1/8/00,47.56,504
505 Perth - North West,1/8/00,24.47,505
506 Perth - South East,1/8/00,25.26,506
507 Perth - South West,1/8/00,25.88,507
501 Bunbury,1/8/00,29.31,501
508 Western Australia - Outback,1/8/00,23.48,508
509 Western Australia - Wheat Belt,1/8/00,25.04,509
601 Hobart,1/8/00,36.69,601
602 Launceston and North East,1/8/00,28.59,602
603 Tasmania - South East,1/8/00,28.47,603
604 Tasmania - West and North West,1/8/00,32.61,604
701 Darwin,1/8/00,24.92,701
702 Northern Territory - Outback,1/8/00,30.27,702
801 Australian Capital Territory,1/8/00,28.34,801
102 Central Coast,1/8/01,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/01,25.56,115
116 Sydney - Blacktown,1/8/01,40.9,116
117 Sydney - City and Inner South,1/8/01,19.37,117
118 Sydney - Eastern Suburbs,1/8/01,38.69,118
119 Sydney - Inner South West,1/8/01,50.21,119
120 Sydney - Inner West,1/8/01,26.06,120
121 Sydney - North Sydney and Hornsby,1/8/01,44.34,121
122 Sydney - Northern Beaches,1/8/01,53.62,122
123 Sydney - Outer South West,1/8/01,38.57,123
124 Sydney - Outer West and Blue Mountains,1/8/01,22.82,124
125 Sydney - Parramatta,1/8/01,24.28,125
126 Sydney - Ryde,1/8/01,27.02,126
127 Sydney - South West,1/8/01,40.88,127
128 Sydney - Sutherland,1/8/01,18.69,128
101 Capital Region,1/8/01,33.39,101
103 New South Wales - Central West,1/8/01,29.3,103
104 Coffs Harbour - Grafton,1/8/01,26.35,104
105 Far West and Orana,1/8/01,34.24,105
106 Hunter Valley exc Newcastle,1/8/01,43.81,106
107 Illawarra,1/8/01,23.5,107
108 Mid North Coast,1/8/01,28.65,108
109 Murray,1/8/01,23.82,109
110 New England and North West,1/8/01,23.78,110
111 Newcastle and Lake Macquarie,1/8/01,34.91,111
112 Richmond - Tweed,1/8/01,25.95,112
113 Riverina,1/8/01,33.42,113
114 Southern Highlands and Shoalhaven,1/8/01,30.05,114
206 Melbourne - Inner,1/8/01,27.25,206
207 Melbourne - Inner East,1/8/01,51.51,207
208 Melbourne - Inner South,1/8/01,50.16,208
209 Melbourne - North East,1/8/01,44.3,209
210 Melbourne - North West,1/8/01,26.95,210
